x1,x2,x3,x4,x5,distance
-58,-61,-54,-61,-62,8
-61,-54,-61,-62,-61,8
-54,-61,-62,-61,-54,8
-61,-62,-61,-54,-54,8
-62,-61,-54,-54,-61,8
-61,-54,-54,-61,-61,8
-54,-54,-61,-61,-60,8
-54,-61,-61,-60,-53,8
-61,-61,-60,-53,-61,8
-61,-60,-53,-61,-60,8
-60,-53,-61,-60,-61,8
-53,-61,-60,-61,-61,8
-61,-60,-61,-61,-60,8
-60,-61,-61,-60,-54,8
-61,-61,-60,-54,-52,8
-61,-60,-54,-52,-61,8
-60,-54,-52,-61,-59,8
-54,-52,-61,-59,-61,8
-52,-61,-59,-61,-61,8
-61,-59,-61,-61,-55,8
-59,-61,-61,-55,-61,8
-61,-61,-55,-61,-62,8
-61,-55,-61,-62,-61,8
-55,-61,-62,-61,-61,8
-61,-62,-61,-61,-61,8
-62,-61,-61,-61,-54,8
-61,-61,-61,-54,-64,8
-61,-61,-54,-64,-51,8
-61,-54,-64,-51,-55,8
-54,-64,-51,-55,-61,8
-64,-51,-55,-61,-53,8
-51,-55,-61,-53,-57,8
-55,-61,-53,-57,-61,8
-61,-53,-57,-61,-61,8
-53,-57,-61,-61,-56,8
-57,-61,-61,-56,-61,8
-61,-61,-56,-61,-60,8
-61,-56,-61,-60,-61,8
-56,-61,-60,-61,-54,8
-61,-60,-61,-54,-57,8
-60,-61,-54,-57,-61,8
-61,-54,-57,-61,-60,8
-54,-57,-61,-60,-63,8
-57,-61,-60,-63,-60,8
-61,-60,-63,-60,-54,8
-60,-63,-60,-54,-60,8
-63,-60,-54,-60,-57,8
-60,-54,-60,-57,-60,8
-54,-60,-57,-60,-57,8
-60,-57,-60,-57,-63,8
-57,-60,-57,-63,-60,8
-60,-57,-63,-60,-53,8
-57,-63,-60,-53,-54,8
-63,-60,-53,-54,-63,8
-60,-53,-54,-63,-56,8
-53,-54,-63,-56,-58,8
-54,-63,-56,-58,-54,8
-63,-56,-58,-54,-60,8
-56,-58,-54,-60,-63,8
-58,-54,-60,-63,-61,8
-54,-60,-63,-61,-63,8
-60,-63,-61,-63,-60,8
-63,-61,-63,-60,-55,8
-61,-63,-60,-55,-54,8
-63,-60,-55,-54,-54,8
-60,-55,-54,-54,-63,8
-55,-54,-54,-63,-60,8
-54,-54,-63,-60,-51,8
-54,-63,-60,-51,-58,8
-63,-60,-51,-58,-54,8
-60,-51,-58,-54,-62,8
-51,-58,-54,-62,-63,8
-58,-54,-62,-63,-53,8
-54,-62,-63,-53,-58,8
-62,-63,-53,-58,-54,8
-63,-53,-58,-54,-54,8
-53,-58,-54,-54,-63,8
-58,-54,-54,-63,-62,8
-54,-54,-63,-62,-60,8
-54,-63,-62,-60,-63,8
-63,-62,-60,-63,-59,8
-62,-60,-63,-59,-58,8
-60,-63,-59,-58,-60,8
