x1,x2,x3,x4,x5,distance
-72,-70,-71,-70,-72,29
-70,-71,-70,-72,-72,29
-71,-70,-72,-72,-74,29
-70,-72,-72,-74,-70,29
-72,-72,-74,-70,-78,29
-72,-74,-70,-78,-78,29
-74,-70,-78,-78,-77,29
-70,-78,-78,-77,-73,29
-78,-78,-77,-73,-78,29
-78,-77,-73,-78,-78,29
-77,-73,-78,-78,-72,29
-73,-78,-78,-72,-70,29
-78,-78,-72,-70,-74,29
-78,-72,-70,-74,-76,29
-72,-70,-74,-76,-70,29
-70,-74,-76,-70,-71,29
-74,-76,-70,-71,-74,29
-76,-70,-71,-74,-74,29
-70,-71,-74,-74,-76,29
-71,-74,-74,-76,-76,29
-74,-74,-76,-76,-73,29
-74,-76,-76,-73,-70,29
-76,-76,-73,-70,-69,29
-76,-73,-70,-69,-70,29
-73,-70,-69,-70,-69,29
-70,-69,-70,-69,-79,29
-69,-70,-69,-79,-76,29
-70,-69,-79,-76,-78,29
-69,-79,-76,-78,-73,29
-79,-76,-78,-73,-76,29
-76,-78,-73,-76,-74,29
-78,-73,-76,-74,-73,29
-73,-76,-74,-73,-71,29
-76,-74,-73,-71,-73,29
-74,-73,-71,-73,-70,29
-73,-71,-73,-70,-79,29
-71,-73,-70,-79,-71,29
-73,-70,-79,-71,-69,29
-70,-79,-71,-69,-74,29
-79,-71,-69,-74,-70,29
-71,-69,-74,-70,-73,29
-69,-74,-70,-73,-70,29
-74,-70,-73,-70,-73,29
-70,-73,-70,-73,-74,29
-73,-70,-73,-74,-73,29
-70,-73,-74,-73,-79,29
-73,-74,-73,-79,-79,29
-74,-73,-79,-79,-73,29
-73,-79,-79,-73,-78,29
-79,-79,-73,-78,-70,29
-79,-73,-78,-70,-71,29
-73,-78,-70,-71,-70,29
-78,-70,-71,-70,-69,29
-70,-71,-70,-69,-78,29
-71,-70,-69,-78,-79,29
-70,-69,-78,-79,-74,29
-69,-78,-79,-74,-70,29
-78,-79,-74,-70,-70,29
-79,-74,-70,-70,-70,29
-74,-70,-70,-70,-70,29
-70,-70,-70,-70,-72,29
-70,-70,-70,-72,-69,29
-70,-70,-72,-69,-70,29
-70,-72,-69,-70,-79,29
-72,-69,-70,-79,-67,29
-69,-70,-79,-67,-71,29
-70,-79,-67,-71,-71,29
-79,-67,-71,-71,-79,29
-67,-71,-71,-79,-79,29
-71,-71,-79,-79,-73,29
-71,-79,-79,-73,-74,29
-79,-79,-73,-74,-73,29
-79,-73,-74,-73,-73,29
-73,-74,-73,-73,-73,29
-74,-73,-73,-73,-73,29
-73,-73,-73,-73,-79,29
-73,-73,-73,-79,-79,29
-73,-73,-79,-79,-79,29
-73,-79,-79,-79,-70,29
-79,-79,-79,-70,-79,29
-79,-79,-70,-79,-79,29
-79,-70,-79,-79,-73,29
-70,-79,-79,-73,-79,29
-79,-79,-73,-79,-71,29
-79,-73,-79,-71,-73,29
-73,-79,-71,-73,-73,29
-79,-71,-73,-73,-79,29
-71,-73,-73,-79,-79,29
-73,-73,-79,-79,-71,29
-73,-79,-79,-71,-76,29
-79,-79,-71,-76,-79,29
-79,-71,-76,-79,-73,29
-71,-76,-79,-73,-70,29
-76,-79,-73,-70,-74,29
-79,-73,-70,-74,-68,29
-73,-70,-74,-68,-70,29
-70,-74,-68,-70,-69,29
-74,-68,-70,-69,-70,29
