x1,x2,x3,x4,x5,distance
-72,-93,-70,-70,-70,26
-93,-70,-70,-70,-72,26
-70,-70,-70,-72,-71,26
-70,-70,-72,-71,-93,26
-70,-72,-71,-93,-94,26
-72,-71,-93,-94,-93,26
-71,-93,-94,-93,-93,26
-93,-94,-93,-93,-70,26
-94,-93,-93,-70,-70,26
-93,-93,-70,-70,-71,26
-93,-70,-70,-71,-70,26
-70,-70,-71,-70,-94,26
-70,-71,-70,-94,-81,26
-71,-70,-94,-81,-93,26
-70,-94,-81,-93,-93,26
-94,-81,-93,-93,-70,26
-81,-93,-93,-70,-70,26
-93,-93,-70,-70,-72,26
-93,-70,-70,-72,-72,26
-70,-70,-72,-72,-70,26
-70,-72,-72,-70,-70,26
-72,-72,-70,-70,-70,26
-72,-70,-70,-70,-72,26
-70,-70,-70,-72,-70,26
-70,-70,-72,-70,-93,26
-70,-72,-70,-93,-92,26
-72,-70,-93,-92,-70,26
-70,-93,-92,-70,-71,26
-93,-92,-70,-71,-70,26
-92,-70,-71,-70,-70,26
-70,-71,-70,-70,-92,26
-71,-70,-70,-92,-94,26
-70,-70,-92,-94,-91,26
-70,-92,-94,-91,-70,26
-92,-94,-91,-70,-70,26
-94,-91,-70,-70,-92,26
-91,-70,-70,-92,-70,26
-70,-70,-92,-70,-93,26
-70,-92,-70,-93,-70,26
-92,-70,-93,-70,-70,26
-70,-93,-70,-70,-70,26
-93,-70,-70,-70,-70,26
-70,-70,-70,-70,-70,26
-70,-70,-70,-70,-70,26
-70,-70,-70,-70,-72,26
-70,-70,-70,-72,-93,26
-70,-70,-72,-93,-70,26
-70,-72,-93,-70,-70,26
-72,-93,-70,-70,-70,26
-93,-70,-70,-70,-70,26
-70,-70,-70,-70,-71,26
-70,-70,-70,-71,-70,26
-70,-70,-71,-70,-93,26
-70,-71,-70,-93,-70,26
-71,-70,-93,-70,-70,26
-70,-93,-70,-70,-70,26
-93,-70,-70,-70,-70,26
-70,-70,-70,-70,-70,26
-70,-70,-70,-70,-70,26
-70,-70,-70,-70,-93,26
-70,-70,-70,-93,-70,26
-70,-70,-93,-70,-93,26
-70,-93,-70,-93,-72,26
-93,-70,-93,-72,-70,26
-70,-93,-72,-70,-70,26
-93,-72,-70,-70,-70,26
-72,-70,-70,-70,-70,26
-70,-70,-70,-70,-91,26
-70,-70,-70,-91,-88,26
-70,-70,-91,-88,-70,26
-70,-91,-88,-70,-70,26
-91,-88,-70,-70,-70,26
-88,-70,-70,-70,-70,26
-70,-70,-70,-70,-70,26
-70,-70,-70,-70,-91,26
-70,-70,-70,-91,-94,26
-70,-70,-91,-94,-70,26
-70,-91,-94,-70,-94,26
-91,-94,-70,-94,-70,26
-94,-70,-94,-70,-93,26
-70,-94,-70,-93,-70,26
-94,-70,-93,-70,-71,26
-70,-93,-70,-71,-70,26
-93,-70,-71,-70,-70,26
-70,-71,-70,-70,-93,26
-71,-70,-70,-93,-93,26
-70,-70,-93,-93,-71,26
-70,-93,-93,-71,-93,26
-93,-93,-71,-93,-70,26
-93,-71,-93,-70,-93,26
-71,-93,-70,-93,-70,26
-93,-70,-93,-70,-70,26
-70,-93,-70,-70,-70,26
-93,-70,-70,-70,-70,26
-70,-70,-70,-70,-70,26
-70,-70,-70,-70,-70,26
-70,-70,-70,-70,-91,26
-70,-70,-70,-91,-71,26
-70,-70,-91,-71,-70,26
-70,-91,-71,-70,-70,26
-91,-71,-70,-70,-70,26
-71,-70,-70,-70,-70,26
-70,-70,-70,-70,-94,26
-70,-70,-70,-94,-70,26
-70,-70,-94,-70,-93,26
-70,-94,-70,-93,-94,26
-94,-70,-93,-94,-70,26
-70,-93,-94,-70,-70,26
-93,-94,-70,-70,-70,26
-94,-70,-70,-70,-70,26
-70,-70,-70,-70,-70,26
-70,-70,-70,-70,-71,26
-70,-70,-70,-71,-71,26
-70,-70,-71,-71,-71,26
-70,-71,-71,-71,-70,26
-71,-71,-71,-70,-71,26
-71,-71,-70,-71,-70,26
-71,-70,-71,-70,-70,26
-70,-71,-70,-70,-92,26
-71,-70,-70,-92,-71,26
-70,-70,-92,-71,-72,26
-70,-92,-71,-72,-71,26
-92,-71,-72,-71,-70,26
-71,-72,-71,-70,-94,26
-72,-71,-70,-94,-70,26
-71,-70,-94,-70,-72,26
-70,-94,-70,-72,-72,26
-94,-70,-72,-72,-70,26
-70,-72,-72,-70,-93,26
