x1,x2,x3,x4,x5,distance
-64,-62,-62,-67,-64,12
-62,-62,-67,-64,-64,12
-62,-67,-64,-64,-65,12
-67,-64,-64,-65,-63,12
-64,-64,-65,-63,-61,12
-64,-65,-63,-61,-67,12
-65,-63,-61,-67,-67,12
-63,-61,-67,-67,-64,12
-61,-67,-67,-64,-67,12
-67,-67,-64,-67,-64,12
-67,-64,-67,-64,-67,12
-64,-67,-64,-67,-67,12
-67,-64,-67,-67,-63,12
-64,-67,-67,-63,-67,12
-67,-67,-63,-67,-64,12
-67,-63,-67,-64,-63,12
-63,-67,-64,-63,-64,12
-67,-64,-63,-64,-65,12
-64,-63,-64,-65,-64,12
-63,-64,-65,-64,-67,12
-64,-65,-64,-67,-64,12
-65,-64,-67,-64,-68,12
-64,-67,-64,-68,-66,12
-67,-64,-68,-66,-64,12
-64,-68,-66,-64,-67,12
-68,-66,-64,-67,-62,12
-66,-64,-67,-62,-67,12
-64,-67,-62,-67,-63,12
-67,-62,-67,-63,-65,12
-62,-67,-63,-65,-65,12
-67,-63,-65,-65,-65,12
-63,-65,-65,-65,-67,12
-65,-65,-65,-67,-67,12
-65,-65,-67,-67,-64,12
-65,-67,-67,-64,-64,12
-67,-67,-64,-64,-64,12
-67,-64,-64,-64,-63,12
-64,-64,-64,-63,-64,12
-64,-64,-63,-64,-64,12
-64,-63,-64,-64,-62,12
-63,-64,-64,-62,-64,12
-64,-64,-62,-64,-67,12
-64,-62,-64,-67,-65,12
-62,-64,-67,-65,-65,12
-64,-67,-65,-65,-61,12
-67,-65,-65,-61,-62,12
-65,-65,-61,-62,-66,12
-65,-61,-62,-66,-63,12
-61,-62,-66,-63,-64,12
-62,-66,-63,-64,-61,12
-66,-63,-64,-61,-61,12
-63,-64,-61,-61,-62,12
-64,-61,-61,-62,-67,12
-61,-61,-62,-67,-64,12
-61,-62,-67,-64,-64,12
-62,-67,-64,-64,-63,12
-67,-64,-64,-63,-64,12
-64,-64,-63,-64,-65,12
-64,-63,-64,-65,-66,12
-63,-64,-65,-66,-64,12
-64,-65,-66,-64,-63,12
-65,-66,-64,-63,-67,12
-66,-64,-63,-67,-67,12
-64,-63,-67,-67,-66,12
-63,-67,-67,-66,-66,12
-67,-67,-66,-66,-66,12
-67,-66,-66,-66,-66,12
-66,-66,-66,-66,-67,12
-66,-66,-66,-67,-66,12
-66,-66,-67,-66,-67,12
-66,-67,-66,-67,-66,12
-67,-66,-67,-66,-64,12
-66,-67,-66,-64,-67,12
-67,-66,-64,-67,-64,12
-66,-64,-67,-64,-67,12
-64,-67,-64,-67,-66,12
-67,-64,-67,-66,-67,12
-64,-67,-66,-67,-64,12
-67,-66,-67,-64,-67,12
-66,-67,-64,-67,-66,12
-67,-64,-67,-66,-66,12
-64,-67,-66,-66,-66,12
-67,-66,-66,-66,-66,12
-66,-66,-66,-66,-64,12
-66,-66,-66,-64,-67,12
-66,-66,-64,-67,-66,12
-66,-64,-67,-66,-67,12
-64,-67,-66,-67,-66,12
-67,-66,-67,-66,-64,12
-66,-67,-66,-64,-61,12
-67,-66,-64,-61,-64,12
-66,-64,-61,-64,-67,12
-64,-61,-64,-67,-64,12
-61,-64,-67,-64,-66,12
-64,-67,-64,-66,-65,12
-67,-64,-66,-65,-61,12
-64,-66,-65,-61,-64,12
-66,-65,-61,-64,-66,12
-65,-61,-64,-66,-66,12
-61,-64,-66,-66,-67,12
-64,-66,-66,-67,-65,12
-66,-66,-67,-65,-64,12
-66,-67,-65,-64,-61,12
-67,-65,-64,-61,-64,12
-65,-64,-61,-64,-67,12
-64,-61,-64,-67,-64,12
-61,-64,-67,-64,-63,12
-64,-67,-64,-63,-63,12
-67,-64,-63,-63,-66,12
-64,-63,-63,-66,-64,12
-63,-63,-66,-64,-64,12
-63,-66,-64,-64,-67,12
-66,-64,-64,-67,-67,12
