x1,x2,x3,x4,x5,distance
-76,-73,-76,-74,-76,31
-73,-76,-74,-76,-69,31
-76,-74,-76,-69,-72,31
-74,-76,-69,-72,-69,31
-76,-69,-72,-69,-73,31
-69,-72,-69,-73,-76,31
-72,-69,-73,-76,-78,31
-69,-73,-76,-78,-67,31
-73,-76,-78,-67,-78,31
-76,-78,-67,-78,-78,31
-78,-67,-78,-78,-75,31
-67,-78,-78,-75,-77,31
-78,-78,-75,-77,-76,31
-78,-75,-77,-76,-67,31
-75,-77,-76,-67,-68,31
-77,-76,-67,-68,-72,31
-76,-67,-68,-72,-71,31
-67,-68,-72,-71,-72,31
-68,-72,-71,-72,-73,31
-72,-71,-72,-73,-75,31
-71,-72,-73,-75,-78,31
-72,-73,-75,-78,-78,31
-73,-75,-78,-78,-67,31
-75,-78,-78,-67,-72,31
-78,-78,-67,-72,-67,31
-78,-67,-72,-67,-78,31
-67,-72,-67,-78,-78,31
-72,-67,-78,-78,-77,31
-67,-78,-78,-77,-78,31
-78,-78,-77,-78,-67,31
-78,-77,-78,-67,-78,31
-77,-78,-67,-78,-67,31
-78,-67,-78,-67,-67,31
-67,-78,-67,-67,-78,31
-78,-67,-67,-78,-70,31
-67,-67,-78,-70,-77,31
-67,-78,-70,-77,-76,31
-78,-70,-77,-76,-77,31
-70,-77,-76,-77,-76,31
-77,-76,-77,-76,-72,31
-76,-77,-76,-72,-67,31
-77,-76,-72,-67,-73,31
-76,-72,-67,-73,-72,31
-72,-67,-73,-72,-72,31
-67,-73,-72,-72,-72,31
-73,-72,-72,-72,-67,31
-72,-72,-72,-67,-72,31
-72,-72,-67,-72,-78,31
-72,-67,-72,-78,-78,31
-67,-72,-78,-78,-76,31
-72,-78,-78,-76,-67,31
-78,-78,-76,-67,-72,31
-78,-76,-67,-72,-67,31
-76,-67,-72,-67,-68,31
-67,-72,-67,-68,-78,31
-72,-67,-68,-78,-78,31
-67,-68,-78,-78,-75,31
-68,-78,-78,-75,-72,31
-78,-78,-75,-72,-67,31
-78,-75,-72,-67,-67,31
-75,-72,-67,-67,-72,31
-72,-67,-67,-72,-77,31
-67,-67,-72,-77,-78,31
-67,-72,-77,-78,-78,31
-72,-77,-78,-78,-72,31
-77,-78,-78,-72,-72,31
-78,-78,-72,-72,-72,31
-78,-72,-72,-72,-72,31
-72,-72,-72,-72,-78,31
-72,-72,-72,-78,-72,31
-72,-72,-78,-72,-72,31
-72,-78,-72,-72,-68,31
-78,-72,-72,-68,-67,31
-72,-72,-68,-67,-73,31
