x1,x2,x3,x4,x5,distance
-66,-82,-84,-76,-81,19
-82,-84,-76,-81,-81,19
-84,-76,-81,-81,-66,19
-76,-81,-81,-66,-76,19
-81,-81,-66,-76,-81,19
-81,-66,-76,-81,-66,19
-66,-76,-81,-66,-78,19
-76,-81,-66,-78,-83,19
-81,-66,-78,-83,-64,19
-66,-78,-83,-64,-81,19
-78,-83,-64,-81,-64,19
-83,-64,-81,-64,-80,19
-64,-81,-64,-80,-82,19
-81,-64,-80,-82,-71,19
-64,-80,-82,-71,-82,19
-80,-82,-71,-82,-81,19
-82,-71,-82,-81,-78,19
-71,-82,-81,-78,-74,19
-82,-81,-78,-74,-78,19
-81,-78,-74,-78,-64,19
-78,-74,-78,-64,-66,19
-74,-78,-64,-66,-78,19
-78,-64,-66,-78,-64,19
-64,-66,-78,-64,-64,19
-66,-78,-64,-64,-80,19
-78,-64,-64,-80,-67,19
-64,-64,-80,-67,-72,19
-64,-80,-67,-72,-64,19
-80,-67,-72,-64,-67,19
-67,-72,-64,-67,-67,19
-72,-64,-67,-67,-81,19
-64,-67,-67,-81,-65,19
-67,-67,-81,-65,-64,19
-67,-81,-65,-64,-67,19
-81,-65,-64,-67,-64,19
-65,-64,-67,-64,-78,19
-64,-67,-64,-78,-81,19
-67,-64,-78,-81,-64,19
-64,-78,-81,-64,-81,19
-78,-81,-64,-81,-81,19
-81,-64,-81,-81,-64,19
-64,-81,-81,-64,-81,19
-81,-81,-64,-81,-67,19
-81,-64,-81,-67,-79,19
-64,-81,-67,-79,-81,19
-81,-67,-79,-81,-81,19
-67,-79,-81,-81,-79,19
-79,-81,-81,-79,-81,19
-81,-81,-79,-81,-63,19
-81,-79,-81,-63,-78,19
-79,-81,-63,-78,-81,19
-81,-63,-78,-81,-78,19
-63,-78,-81,-78,-81,19
-78,-81,-78,-81,-79,19
-81,-78,-81,-79,-81,19
-78,-81,-79,-81,-66,19
-81,-79,-81,-66,-80,19
-79,-81,-66,-80,-79,19
-81,-66,-80,-79,-81,19
-66,-80,-79,-81,-73,19
-80,-79,-81,-73,-72,19
-79,-81,-73,-72,-66,19
-81,-73,-72,-66,-80,19
-73,-72,-66,-80,-80,19
-72,-66,-80,-80,-78,19
-66,-80,-80,-78,-80,19
-80,-80,-78,-80,-64,19
-80,-78,-80,-64,-81,19
-78,-80,-64,-81,-81,19
-80,-64,-81,-81,-80,19
-64,-81,-81,-80,-73,19
-81,-81,-80,-73,-80,19
-81,-80,-73,-80,-81,19
-80,-73,-80,-81,-66,19
-73,-80,-81,-66,-80,19
-80,-81,-66,-80,-66,19
-81,-66,-80,-66,-80,19
-66,-80,-66,-80,-80,19
-80,-66,-80,-80,-78,19
-66,-80,-80,-78,-66,19
-80,-80,-78,-66,-81,19
-80,-78,-66,-81,-81,19
-78,-66,-81,-81,-66,19
-66,-81,-81,-66,-80,19
-81,-81,-66,-80,-66,19
-81,-66,-80,-66,-81,19
-66,-80,-66,-81,-67,19
-80,-66,-81,-67,-81,19
-66,-81,-67,-81,-66,19
-81,-67,-81,-66,-67,19
-67,-81,-66,-67,-73,19
-81,-66,-67,-73,-79,19
-66,-67,-73,-79,-66,19
-67,-73,-79,-66,-73,19
-73,-79,-66,-73,-73,19
-79,-66,-73,-73,-81,19
-66,-73,-73,-81,-81,19
-73,-73,-81,-81,-81,19
-73,-81,-81,-81,-81,19
-81,-81,-81,-81,-66,19
-81,-81,-81,-66,-80,19
-81,-81,-66,-80,-80,19
-81,-66,-80,-80,-64,19
-66,-80,-80,-64,-79,19
-80,-80,-64,-79,-80,19
-80,-64,-79,-80,-80,19
-64,-79,-80,-80,-81,19
-79,-80,-80,-81,-78,19
-80,-80,-81,-78,-80,19
-80,-81,-78,-80,-79,19
-81,-78,-80,-79,-82,19
-84,-67,-84,-81,-81,19
-67,-84,-81,-81,-79,19
-84,-81,-81,-79,-80,19
-81,-81,-79,-80,-72,19
-81,-79,-80,-72,-81,19
-79,-80,-72,-81,-79,19
-80,-72,-81,-79,-67,19
-72,-81,-79,-67,-81,19
-81,-79,-67,-81,-79,19
-79,-67,-81,-79,-66,19
-67,-81,-79,-66,-81,19
-81,-79,-66,-81,-80,19
-79,-66,-81,-80,-66,19
-66,-81,-80,-66,-81,19
-81,-80,-66,-81,-72,19
-80,-66,-81,-72,-73,19
-66,-81,-72,-73,-81,19
-81,-72,-73,-81,-66,19
-72,-73,-81,-66,-66,19
-73,-81,-66,-66,-79,19
-81,-66,-66,-79,-79,19
-66,-66,-79,-79,-67,19
-66,-79,-79,-67,-79,19
-79,-79,-67,-79,-80,19
-79,-67,-79,-80,-73,19
-67,-79,-80,-73,-66,19
-79,-80,-73,-66,-81,19
-80,-73,-66,-81,-79,19
-73,-66,-81,-79,-67,19
-66,-81,-79,-67,-67,19
-81,-79,-67,-67,-67,19
-79,-67,-67,-67,-67,19
-67,-67,-67,-67,-64,19
-67,-67,-67,-64,-77,19
-67,-67,-64,-77,-80,19
-67,-64,-77,-80,-81,19
-64,-77,-80,-81,-67,19
-77,-80,-81,-67,-67,19
-80,-81,-67,-67,-67,19
-81,-67,-67,-67,-72,19
-67,-67,-67,-72,-80,19
-67,-67,-72,-80,-77,19
-67,-72,-80,-77,-67,19
-72,-80,-77,-67,-66,19
-80,-77,-67,-66,-73,19
-77,-67,-66,-73,-81,19
-67,-66,-73,-81,-77,19
-66,-73,-81,-77,-79,19
-73,-81,-77,-79,-79,19
-81,-77,-79,-79,-67,19
-77,-79,-79,-67,-70,19
-79,-79,-67,-70,-66,19
-79,-67,-70,-66,-78,19
-67,-70,-66,-78,-73,19
-70,-66,-78,-73,-79,19
-66,-78,-73,-79,-76,19
-78,-73,-79,-76,-81,19
-73,-79,-76,-81,-64,19
-79,-76,-81,-64,-81,19
-76,-81,-64,-81,-78,19
-81,-64,-81,-78,-79,19
-64,-81,-78,-79,-79,19
-81,-78,-79,-79,-79,19
-78,-79,-79,-79,-78,19
-79,-79,-79,-78,-76,19
-79,-79,-78,-76,-78,19
-79,-78,-76,-78,-79,19
-78,-76,-78,-79,-78,19
-76,-78,-79,-78,-77,19
-78,-79,-78,-77,-73,19
-79,-78,-77,-73,-81,19
-78,-77,-73,-81,-73,19
-77,-73,-81,-73,-72,19
-73,-81,-73,-72,-79,19
-81,-73,-72,-79,-79,19
-73,-72,-79,-79,-66,19
-72,-79,-79,-66,-78,19
-79,-79,-66,-78,-79,19
-79,-66,-78,-79,-77,19
-66,-78,-79,-77,-79,19
-78,-79,-77,-79,-78,19
-79,-77,-79,-78,-79,19
-77,-79,-78,-79,-72,19
-79,-78,-79,-72,-78,19
-78,-79,-72,-78,-80,19
-79,-72,-78,-80,-66,19
-72,-78,-80,-66,-80,19
-78,-80,-66,-80,-66,19
-80,-66,-80,-66,-67,19
-66,-80,-66,-67,-80,19
-80,-66,-67,-80,-66,19
-66,-67,-80,-66,-64,19
-67,-80,-66,-64,-66,19
-80,-66,-64,-66,-67,19
-66,-64,-66,-67,-80,19
-64,-66,-67,-80,-80,19
-66,-67,-80,-80,-79,19
-67,-80,-80,-79,-77,19
-80,-80,-79,-77,-79,19
-80,-79,-77,-79,-78,19
-79,-77,-79,-78,-79,19
-77,-79,-78,-79,-80,19
-79,-78,-79,-80,-66,19
-78,-79,-80,-66,-80,19
-79,-80,-66,-80,-66,19
-80,-66,-80,-66,-66,19
-66,-80,-66,-66,-79,19
-80,-66,-66,-79,-77,19
-66,-66,-79,-77,-67,19
-66,-79,-77,-67,-79,19
-79,-77,-67,-79,-66,19
-77,-67,-79,-66,-67,19
-67,-79,-66,-67,-66,19
-79,-66,-67,-66,-79,19
