x1,x2,x3,x4,x5,distance
-84,-67,-66,-66,-79,22
-67,-66,-66,-79,-85,22
-66,-66,-79,-85,-66,22
-66,-79,-85,-66,-66,22
-79,-85,-66,-66,-82,22
-85,-66,-66,-82,-82,22
-66,-66,-82,-82,-66,22
-66,-82,-82,-66,-85,22
-82,-82,-66,-85,-83,22
-82,-66,-85,-83,-82,22
-66,-85,-83,-82,-82,22
-85,-83,-82,-82,-84,22
-83,-82,-82,-84,-81,22
-82,-82,-84,-81,-81,22
-82,-84,-81,-81,-63,22
-84,-81,-81,-63,-84,22
-81,-81,-63,-84,-79,22
-81,-63,-84,-79,-66,22
-63,-84,-79,-66,-65,22
-84,-79,-66,-65,-85,22
-79,-66,-65,-85,-85,22
-66,-65,-85,-85,-85,22
-65,-85,-85,-85,-74,22
-85,-85,-85,-74,-83,22
-85,-85,-74,-83,-64,22
-85,-74,-83,-64,-84,22
-74,-83,-64,-84,-80,22
-83,-64,-84,-80,-80,22
-64,-84,-80,-80,-79,22
-84,-80,-80,-79,-64,22
-80,-80,-79,-64,-83,22
-80,-79,-64,-83,-71,22
-79,-64,-83,-71,-64,22
-64,-83,-71,-64,-80,22
-83,-71,-64,-80,-85,22
-71,-64,-80,-85,-80,22
-64,-80,-85,-80,-64,22
-80,-85,-80,-64,-64,22
-85,-80,-64,-64,-64,22
-80,-64,-64,-64,-86,22
-64,-64,-64,-86,-86,22
-64,-64,-86,-86,-64,22
-64,-86,-86,-64,-66,22
-86,-86,-64,-66,-85,22
-86,-64,-66,-85,-63,22
-64,-66,-85,-63,-64,22
-66,-85,-63,-64,-85,22
-85,-63,-64,-85,-80,22
-63,-64,-85,-80,-83,22
-64,-85,-80,-83,-64,22
-85,-80,-83,-64,-83,22
-80,-83,-64,-83,-64,22
-83,-64,-83,-64,-64,22
-64,-83,-64,-64,-65,22
-83,-64,-64,-65,-73,22
-64,-64,-65,-73,-66,22
-64,-65,-73,-66,-84,22
-65,-73,-66,-84,-83,22
-73,-66,-84,-83,-84,22
-66,-84,-83,-84,-64,22
-84,-83,-84,-64,-84,22
-83,-84,-64,-84,-48,22
-84,-64,-84,-48,-81,22
-64,-84,-48,-81,-64,22
-84,-48,-81,-64,-82,22
-48,-81,-64,-82,-82,22
-81,-64,-82,-82,-82,22
-64,-82,-82,-82,-64,22
-82,-82,-82,-64,-82,22
-82,-82,-64,-82,-80,22
-82,-64,-82,-80,-74,22
-64,-82,-80,-74,-66,22
-82,-80,-74,-66,-67,22
-80,-74,-66,-67,-80,22
-74,-66,-67,-80,-82,22
-66,-67,-80,-82,-78,22
-67,-80,-82,-78,-63,22
-80,-82,-78,-63,-83,22
-82,-78,-63,-83,-80,22
-78,-63,-83,-80,-64,22
-63,-83,-80,-64,-82,22
-83,-80,-64,-82,-77,22
-80,-64,-82,-77,-66,22
-64,-82,-77,-66,-76,22
-82,-77,-66,-76,-74,22
-77,-66,-76,-74,-75,22
-66,-76,-74,-75,-84,22
-76,-74,-75,-84,-66,22
-74,-75,-84,-66,-84,22
-75,-84,-66,-84,-66,22
-84,-66,-84,-66,-78,22
-66,-84,-66,-78,-66,22
-84,-66,-78,-66,-66,22
-66,-78,-66,-66,-78,22
-78,-66,-66,-78,-66,22
-66,-66,-78,-66,-83,22
-66,-78,-66,-83,-83,22
-78,-66,-83,-83,-83,22
-66,-83,-83,-83,-66,22
-83,-83,-83,-66,-76,22
-83,-83,-66,-76,-79,22
-83,-66,-76,-79,-76,22
-66,-76,-79,-76,-83,22
-76,-79,-76,-83,-66,22
-79,-76,-83,-66,-78,22
-76,-83,-66,-78,-78,22
-83,-66,-78,-78,-85,22
-66,-78,-78,-85,-78,22
-78,-78,-85,-78,-78,22
