x1,x2,x3,x4,x5,distance
-73,-73,-73,-83,-73,20
-73,-73,-83,-73,-66,20
-73,-83,-73,-66,-78,20
-83,-73,-66,-78,-73,20
-73,-66,-78,-73,-67,20
-66,-78,-73,-67,-67,20
-78,-73,-67,-67,-67,20
-73,-67,-67,-67,-73,20
-67,-67,-67,-73,-67,20
-67,-67,-73,-67,-73,20
-67,-73,-67,-73,-51,20
-73,-67,-73,-51,-78,20
-67,-73,-51,-78,-81,20
-73,-51,-78,-81,-81,20
-51,-78,-81,-81,-81,20
-78,-81,-81,-81,-75,20
-81,-81,-81,-75,-67,20
-81,-81,-75,-67,-75,20
-81,-75,-67,-75,-81,20
-75,-67,-75,-81,-78,20
-67,-75,-81,-78,-75,20
-75,-81,-78,-75,-71,20
-81,-78,-75,-71,-82,20
-78,-75,-71,-82,-75,20
-75,-71,-82,-75,-75,20
-71,-82,-75,-75,-82,20
-82,-75,-75,-82,-67,20
-75,-75,-82,-67,-67,20
-75,-82,-67,-67,-75,20
-82,-67,-67,-75,-80,20
-67,-67,-75,-80,-75,20
-67,-75,-80,-75,-75,20
-75,-80,-75,-75,-67,20
-80,-75,-75,-67,-64,20
-75,-75,-67,-64,-78,20
-75,-67,-64,-78,-67,20
-67,-64,-78,-67,-67,20
-64,-78,-67,-67,-82,20
-78,-67,-67,-82,-67,20
-67,-67,-82,-67,-75,20
-67,-82,-67,-75,-82,20
-82,-67,-75,-82,-67,20
-67,-75,-82,-67,-67,20
-75,-82,-67,-67,-67,20
-82,-67,-67,-67,-64,20
-67,-67,-67,-64,-67,20
-67,-67,-64,-67,-75,20
-67,-64,-67,-75,-66,20
-64,-67,-75,-66,-75,20
-67,-75,-66,-75,-67,20
-75,-66,-75,-67,-67,20
-66,-75,-67,-67,-75,20
-75,-67,-67,-75,-75,20
-67,-67,-75,-75,-66,20
-67,-75,-75,-66,-74,20
-75,-75,-66,-74,-78,20
-75,-66,-74,-78,-71,20
-66,-74,-78,-71,-67,20
-74,-78,-71,-67,-81,20
-78,-71,-67,-81,-82,20
-71,-67,-81,-82,-82,20
-67,-81,-82,-82,-67,20
-81,-82,-82,-67,-50,20
-82,-82,-67,-50,-75,20
-82,-67,-50,-75,-82,20
-67,-50,-75,-82,-71,20
-50,-75,-82,-71,-75,20
-75,-82,-71,-75,-75,20
-82,-71,-75,-75,-75,20
-71,-75,-75,-75,-73,20
-75,-75,-75,-73,-82,20
-75,-75,-73,-82,-67,20
-75,-73,-82,-67,-64,20
-73,-82,-67,-64,-67,20
-82,-67,-64,-67,-74,20
-67,-64,-67,-74,-75,20
-64,-67,-74,-75,-82,20
-67,-74,-75,-82,-82,20
-74,-75,-82,-82,-71,20
-75,-82,-82,-71,-79,20
-82,-82,-71,-79,-67,20
-82,-71,-79,-67,-67,20
-71,-79,-67,-67,-75,20
-79,-67,-67,-75,-75,20
-67,-67,-75,-75,-71,20
-67,-75,-75,-71,-67,20
-75,-75,-71,-67,-75,20
-75,-71,-67,-75,-72,20
-71,-67,-75,-72,-82,20
-67,-75,-72,-82,-72,20
-75,-72,-82,-72,-79,20
-72,-82,-72,-79,-67,20
-82,-72,-79,-67,-75,20
-72,-79,-67,-75,-82,20
-79,-67,-75,-82,-67,20
-67,-75,-82,-67,-82,20
-75,-82,-67,-82,-74,20
-82,-67,-82,-74,-82,20
-67,-82,-74,-82,-82,20
-82,-74,-82,-82,-73,20
-74,-82,-82,-73,-75,20
-82,-82,-73,-75,-75,20
-82,-73,-75,-75,-70,20
-73,-75,-75,-70,-82,20
-75,-75,-70,-82,-82,20
-75,-70,-82,-82,-75,20
-70,-82,-82,-75,-67,20
-82,-82,-75,-67,-67,20
-82,-75,-67,-67,-83,20
-75,-67,-67,-83,-67,20
-67,-67,-83,-67,-82,20
-67,-83,-67,-82,-71,20
-83,-67,-82,-71,-74,20
-67,-82,-71,-74,-74,20
-82,-71,-74,-74,-75,20
-71,-74,-74,-75,-74,20
-74,-74,-75,-74,-79,20
-74,-75,-74,-79,-67,20
-75,-74,-79,-67,-67,20
-74,-79,-67,-67,-75,20
-79,-67,-67,-75,-71,20
-67,-67,-75,-71,-82,20
-67,-75,-71,-82,-75,20
-75,-71,-82,-75,-67,20
-71,-82,-75,-67,-82,20
-82,-75,-67,-82,-74,20
-75,-67,-82,-74,-67,20
-67,-82,-74,-67,-67,20
-82,-74,-67,-67,-82,20
-74,-67,-67,-82,-75,20
-67,-67,-82,-75,-67,20
-67,-82,-75,-67,-75,20
-82,-75,-67,-75,-75,20
-75,-67,-75,-75,-67,20
-67,-75,-75,-67,-82,20
-75,-75,-67,-82,-67,20
-75,-67,-82,-67,-82,20
-67,-82,-67,-82,-77,20
-82,-67,-82,-77,-75,20
-67,-82,-77,-75,-67,20
-82,-77,-75,-67,-71,20
-77,-75,-67,-71,-82,20
-75,-67,-71,-82,-82,20
