x1,x2,x3,x4,x5,distance
-67,-78,-82,-79,-70,27
-78,-82,-79,-70,-67,27
-82,-79,-70,-67,-67,27
-79,-70,-67,-67,-70,27
-70,-67,-67,-70,-76,27
-67,-67,-70,-76,-76,27
-67,-70,-76,-76,-67,27
-70,-76,-76,-67,-79,27
-76,-76,-67,-79,-76,27
-76,-67,-79,-76,-64,27
-67,-79,-76,-64,-67,27
-79,-76,-64,-67,-79,27
-76,-64,-67,-79,-76,27
-64,-67,-79,-76,-76,27
-67,-79,-76,-76,-79,27
-79,-76,-76,-79,-67,27
-76,-76,-79,-67,-76,27
-76,-79,-67,-76,-76,27
-79,-67,-76,-76,-80,27
-67,-76,-76,-80,-67,27
-76,-76,-80,-67,-76,27
-76,-80,-67,-76,-73,27
-80,-67,-76,-73,-76,27
-67,-76,-73,-76,-79,27
-76,-73,-76,-79,-67,27
-73,-76,-79,-67,-67,27
-76,-79,-67,-67,-79,27
-79,-67,-67,-79,-79,27
-67,-67,-79,-79,-71,27
-67,-79,-79,-71,-67,27
-79,-79,-71,-67,-67,27
-79,-71,-67,-67,-70,27
-71,-67,-67,-70,-77,27
-67,-67,-70,-77,-76,27
-67,-70,-77,-76,-71,27
-70,-77,-76,-71,-76,27
-77,-76,-71,-76,-76,27
-76,-71,-76,-76,-76,27
-71,-76,-76,-76,-80,27
-76,-76,-76,-80,-64,27
-76,-76,-80,-64,-76,27
-76,-80,-64,-76,-79,27
-80,-64,-76,-79,-80,27
-64,-76,-79,-80,-79,27
-76,-79,-80,-79,-73,27
-79,-80,-79,-73,-69,27
-80,-79,-73,-69,-79,27
-79,-73,-69,-79,-74,27
-73,-69,-79,-74,-73,27
-69,-79,-74,-73,-64,27
-79,-74,-73,-64,-79,27
-74,-73,-64,-79,-73,27
-73,-64,-79,-73,-76,27
-64,-79,-73,-76,-67,27
-79,-73,-76,-67,-76,27
-73,-76,-67,-76,-80,27
-76,-67,-76,-80,-76,27
-67,-76,-80,-76,-79,27
-76,-80,-76,-79,-67,27
-80,-76,-79,-67,-73,27
-76,-79,-67,-73,-73,27
