x1,x2,x3,x4,x5,distance
-58,-61,-58,-58,-61,5
-61,-58,-58,-61,-61,5
-58,-58,-61,-61,-83,5
-58,-61,-61,-83,-89,5
-61,-61,-83,-89,-61,5
-61,-83,-89,-61,-58,5
-83,-89,-61,-58,-83,5
-89,-61,-58,-83,-70,5
-61,-58,-83,-70,-60,5
-58,-83,-70,-60,-61,5
-83,-70,-60,-61,-84,5
-70,-60,-61,-84,-58,5
-60,-61,-84,-58,-58,5
-61,-84,-58,-58,-61,5
-84,-58,-58,-61,-58,5
-58,-58,-61,-58,-85,5
-58,-61,-58,-85,-58,5
-61,-58,-85,-58,-84,5
-58,-85,-58,-84,-58,5
-85,-58,-84,-58,-58,5
-58,-84,-58,-58,-60,5
-84,-58,-58,-60,-58,5
-58,-58,-60,-58,-85,5
-58,-60,-58,-85,-58,5
-60,-58,-85,-58,-73,5
-58,-85,-58,-73,-81,5
-85,-58,-73,-81,-61,5
-58,-73,-81,-61,-61,5
-73,-81,-61,-61,-58,5
-81,-61,-61,-58,-63,5
-61,-61,-58,-63,-56,5
-61,-58,-63,-56,-84,5
-58,-63,-56,-84,-61,5
-63,-56,-84,-61,-84,5
-56,-84,-61,-84,-56,5
-84,-61,-84,-56,-58,5
-61,-84,-56,-58,-58,5
-84,-56,-58,-58,-58,5
-56,-58,-58,-58,-84,5
-58,-58,-58,-84,-83,5
-58,-58,-84,-83,-61,5
-58,-84,-83,-61,-58,5
-84,-83,-61,-58,-61,5
-83,-61,-58,-61,-61,5
-61,-58,-61,-61,-58,5
-58,-61,-61,-58,-84,5
-61,-61,-58,-84,-58,5
-61,-58,-84,-58,-61,5
-58,-84,-58,-61,-63,5
-84,-58,-61,-63,-56,5
-58,-61,-63,-56,-61,5
-61,-63,-56,-61,-84,5
-63,-56,-61,-84,-58,5
-56,-61,-84,-58,-61,5
-61,-84,-58,-61,-58,5
-84,-58,-61,-58,-61,5
-58,-61,-58,-61,-80,5
-61,-58,-61,-80,-82,5
-58,-61,-80,-82,-58,5
-61,-80,-82,-58,-81,5
-80,-82,-58,-81,-63,5
-82,-58,-81,-63,-70,5
-58,-81,-63,-70,-61,5
-81,-63,-70,-61,-58,5
-63,-70,-61,-58,-58,5
-70,-61,-58,-58,-61,5
-61,-58,-58,-61,-58,5
-58,-58,-61,-58,-61,5
-58,-61,-58,-61,-59,5
-61,-58,-61,-59,-71,5
-58,-61,-59,-71,-81,5
-61,-59,-71,-81,-58,5
-59,-71,-81,-58,-63,5
-71,-81,-58,-63,-78,5
-81,-58,-63,-78,-57,5
-58,-63,-78,-57,-68,5
-63,-78,-57,-68,-58,5
-78,-57,-68,-58,-81,5
-57,-68,-58,-81,-79,5
-68,-58,-81,-79,-58,5
-58,-81,-79,-58,-58,5
-81,-79,-58,-58,-58,5
-79,-58,-58,-58,-68,5
-58,-58,-58,-68,-59,5
-58,-58,-68,-59,-56,5
-58,-68,-59,-56,-58,5
-68,-59,-56,-58,-86,5
-59,-56,-58,-86,-61,5
-56,-58,-86,-61,-71,5
-58,-86,-61,-71,-58,5
-86,-61,-71,-58,-83,5
-61,-71,-58,-83,-61,5
-71,-58,-83,-61,-84,5
-58,-83,-61,-84,-84,5
-83,-61,-84,-84,-61,5
-61,-84,-84,-61,-58,5
-84,-84,-61,-58,-61,5
-84,-61,-58,-61,-61,5
-61,-58,-61,-61,-58,5
-58,-61,-61,-58,-58,5
-61,-61,-58,-58,-84,5
-61,-58,-58,-84,-58,5
-58,-58,-84,-58,-58,5
-58,-84,-58,-58,-58,5
-84,-58,-58,-58,-83,5
-58,-58,-58,-83,-56,5
-58,-58,-83,-56,-57,5
-58,-83,-56,-57,-82,5
-83,-56,-57,-82,-58,5
-56,-57,-82,-58,-72,5
-57,-82,-58,-72,-61,5
-82,-58,-72,-61,-61,5
-58,-72,-61,-61,-56,5
-72,-61,-61,-56,-61,5
-61,-61,-56,-61,-59,5
-61,-56,-61,-59,-61,5
-56,-61,-59,-61,-61,5
-61,-59,-61,-61,-83,5
-59,-61,-61,-83,-83,5
-61,-61,-83,-83,-56,5
-61,-83,-83,-56,-58,5
-83,-83,-56,-58,-61,5
-83,-56,-58,-61,-58,5
-56,-58,-61,-58,-84,5
-58,-61,-58,-84,-83,5
-61,-58,-84,-83,-83,5
-58,-84,-83,-83,-83,5
-84,-83,-83,-83,-59,5
-83,-83,-83,-59,-58,5
-83,-83,-59,-58,-58,5
-83,-59,-58,-58,-61,5
-59,-58,-58,-61,-82,5
-58,-58,-61,-82,-82,5
-58,-61,-82,-82,-82,5
-61,-82,-82,-82,-58,5
-82,-82,-82,-58,-83,5
-82,-82,-58,-83,-61,5
-82,-58,-83,-61,-60,5
-58,-83,-61,-60,-58,5
-83,-61,-60,-58,-61,5
-61,-60,-58,-61,-70,5
-60,-58,-61,-70,-83,5
-58,-61,-70,-83,-84,5
-61,-70,-83,-84,-66,5
-70,-83,-84,-66,-94,5
-83,-84,-66,-94,-59,5
-84,-66,-94,-59,-60,5
-66,-94,-59,-60,-85,5
-94,-59,-60,-85,-76,5
-59,-60,-85,-76,-84,5
-60,-85,-76,-84,-58,5
-85,-76,-84,-58,-58,5
-76,-84,-58,-58,-56,5
-84,-58,-58,-56,-57,5
-58,-58,-56,-57,-70,5
-58,-56,-57,-70,-61,5
-56,-57,-70,-61,-67,5
-57,-70,-61,-67,-61,5
-70,-61,-67,-61,-61,5
-61,-67,-61,-61,-71,5
-67,-61,-61,-71,-62,5
-61,-61,-71,-62,-86,5
-61,-71,-62,-86,-61,5
-71,-62,-86,-61,-56,5
-62,-86,-61,-56,-61,5
-86,-61,-56,-61,-83,5
-61,-56,-61,-83,-71,5
-56,-61,-83,-71,-86,5
-61,-83,-71,-86,-74,5
-83,-71,-86,-74,-61,5
-71,-86,-74,-61,-84,5
