x1,x2,x3,x4,x5,distance
-73,-70,-73,-63,-58,13
-70,-73,-63,-58,-60,13
-73,-63,-58,-60,-60,13
-63,-58,-60,-60,-68,13
-58,-60,-60,-68,-58,13
-60,-60,-68,-58,-58,13
-60,-68,-58,-58,-66,13
-68,-58,-58,-66,-67,13
-58,-58,-66,-67,-71,13
-58,-66,-67,-71,-73,13
-66,-67,-71,-73,-72,13
-67,-71,-73,-72,-58,13
-71,-73,-72,-58,-62,13
-73,-72,-58,-62,-71,13
-72,-58,-62,-71,-70,13
-58,-62,-71,-70,-60,13
-62,-71,-70,-60,-65,13
-71,-70,-60,-65,-57,13
-70,-60,-65,-57,-56,13
-60,-65,-57,-56,-78,13
-65,-57,-56,-78,-56,13
-57,-56,-78,-56,-76,13
-56,-78,-56,-76,-72,13
-78,-56,-76,-72,-76,13
-56,-76,-72,-76,-72,13
-76,-72,-76,-72,-69,13
-72,-76,-72,-69,-78,13
-76,-72,-69,-78,-73,13
-72,-69,-78,-73,-70,13
-69,-78,-73,-70,-67,13
-78,-73,-70,-67,-64,13
-73,-70,-67,-64,-70,13
-70,-67,-64,-70,-70,13
-67,-64,-70,-70,-70,13
-64,-70,-70,-70,-70,13
-70,-70,-70,-70,-58,13
-70,-70,-70,-58,-72,13
-70,-70,-58,-72,-74,13
-70,-58,-72,-74,-58,13
-58,-72,-74,-58,-73,13
-72,-74,-58,-73,-70,13
-74,-58,-73,-70,-65,13
-58,-73,-70,-65,-58,13
-73,-70,-65,-58,-70,13
-70,-65,-58,-70,-57,13
-65,-58,-70,-57,-70,13
-58,-70,-57,-70,-70,13
-70,-57,-70,-70,-72,13
-57,-70,-70,-72,-72,13
-70,-70,-72,-72,-72,13
-70,-72,-72,-72,-67,13
-72,-72,-72,-67,-73,13
-72,-72,-67,-73,-70,13
-72,-67,-73,-70,-75,13
-67,-73,-70,-75,-58,13
-73,-70,-75,-58,-58,13
-70,-75,-58,-58,-56,13
-75,-58,-58,-56,-70,13
-58,-58,-56,-70,-72,13
-58,-56,-70,-72,-61,13
-56,-70,-72,-61,-73,13
-70,-72,-61,-73,-65,13
-72,-61,-73,-65,-67,13
-61,-73,-65,-67,-65,13
-73,-65,-67,-65,-70,13
-65,-67,-65,-70,-56,13
-67,-65,-70,-56,-64,13
-65,-70,-56,-64,-75,13
-70,-56,-64,-75,-67,13
-56,-64,-75,-67,-64,13
-64,-75,-67,-64,-71,13
-75,-67,-64,-71,-67,13
-67,-64,-71,-67,-76,13
-64,-71,-67,-76,-72,13
-71,-67,-76,-72,-71,13
-67,-76,-72,-71,-72,13
-76,-72,-71,-72,-72,13
-72,-71,-72,-72,-60,13
