x1,x2,x3,x4,x5,distance
-61,-76,-61,-61,-70,18
-76,-61,-61,-70,-70,18
-61,-61,-70,-70,-70,18
-61,-70,-70,-70,-83,18
-70,-70,-70,-83,-77,18
-70,-70,-83,-77,-67,18
-70,-83,-77,-67,-72,18
-83,-77,-67,-72,-70,18
-77,-67,-72,-70,-70,18
-67,-72,-70,-70,-61,18
-72,-70,-70,-61,-84,18
-70,-70,-61,-84,-70,18
-70,-61,-84,-70,-61,18
-61,-84,-70,-61,-83,18
-84,-70,-61,-83,-70,18
-70,-61,-83,-70,-68,18
-61,-83,-70,-68,-61,18
-83,-70,-68,-61,-61,18
-70,-68,-61,-61,-61,18
-68,-61,-61,-61,-84,18
-61,-61,-61,-84,-61,18
-61,-61,-84,-61,-61,18
-61,-84,-61,-61,-84,18
-84,-61,-61,-84,-61,18
-61,-61,-84,-61,-61,18
-61,-84,-61,-61,-70,18
-84,-61,-61,-70,-70,18
-61,-61,-70,-70,-61,18
-61,-70,-70,-61,-61,18
-70,-70,-61,-61,-80,18
-70,-61,-61,-80,-61,18
-61,-61,-80,-61,-61,18
-61,-80,-61,-61,-61,18
-80,-61,-61,-61,-61,18
-61,-61,-61,-61,-70,18
-61,-61,-61,-70,-79,18
-61,-61,-70,-79,-79,18
-61,-70,-79,-79,-70,18
-70,-79,-79,-70,-61,18
-79,-79,-70,-61,-67,18
-79,-70,-61,-67,-61,18
-70,-61,-67,-61,-61,18
-61,-67,-61,-61,-72,18
-67,-61,-61,-72,-61,18
-61,-61,-72,-61,-79,18
-61,-72,-61,-79,-61,18
-72,-61,-79,-61,-79,18
-61,-79,-61,-79,-70,18
-79,-61,-79,-70,-70,18
-61,-79,-70,-70,-79,18
-79,-70,-70,-79,-68,18
-70,-70,-79,-68,-70,18
-70,-79,-68,-70,-70,18
-79,-68,-70,-70,-72,18
-68,-70,-70,-72,-72,18
-70,-70,-72,-72,-70,18
-70,-72,-72,-70,-59,18
-72,-72,-70,-59,-79,18
-72,-70,-59,-79,-65,18
-70,-59,-79,-65,-61,18
-59,-79,-65,-61,-79,18
-79,-65,-61,-79,-79,18
-65,-61,-79,-79,-61,18
-61,-79,-79,-61,-70,18
-79,-79,-61,-70,-80,18
-79,-61,-70,-80,-61,18
-61,-70,-80,-61,-79,18
-70,-80,-61,-79,-61,18
-80,-61,-79,-61,-72,18
-61,-79,-61,-72,-79,18
-79,-61,-72,-79,-74,18
-61,-72,-79,-74,-70,18
-72,-79,-74,-70,-80,18
-79,-74,-70,-80,-80,18
-74,-70,-80,-80,-70,18
-70,-80,-80,-70,-70,18
-80,-80,-70,-70,-79,18
-80,-70,-70,-79,-80,18
-70,-70,-79,-80,-61,18
-70,-79,-80,-61,-70,18
-79,-80,-61,-70,-61,18
-80,-61,-70,-61,-74,18
-61,-70,-61,-74,-70,18
-70,-61,-74,-70,-61,18
-61,-74,-70,-61,-61,18
-74,-70,-61,-61,-70,18
-70,-61,-61,-70,-61,18
-61,-61,-70,-61,-61,18
-61,-70,-61,-61,-61,18
-70,-61,-61,-61,-72,18
-61,-61,-61,-72,-70,18
-61,-61,-72,-70,-70,18
-61,-72,-70,-70,-79,18
-72,-70,-70,-79,-61,18
-70,-70,-79,-61,-61,18
-70,-79,-61,-61,-79,18
-79,-61,-61,-79,-61,18
-61,-61,-79,-61,-61,18
-61,-79,-61,-61,-70,18
-79,-61,-61,-70,-78,18
-61,-61,-70,-78,-80,18
-61,-70,-78,-80,-61,18
-70,-78,-80,-61,-61,18
-78,-80,-61,-61,-81,18
-80,-61,-61,-81,-70,18
-61,-61,-81,-70,-70,18
