x1,x2,x3,x4,x5,distance
-87,-61,-61,-88,-41,14
-61,-61,-88,-41,-66,14
-61,-88,-41,-66,-61,14
-88,-41,-66,-61,-63,14
-41,-66,-61,-63,-61,14
-66,-61,-63,-61,-61,14
-61,-63,-61,-61,-61,14
-63,-61,-61,-61,-66,14
-61,-61,-61,-66,-89,14
-61,-61,-66,-89,-77,14
-61,-66,-89,-77,-76,14
-66,-89,-77,-76,-87,14
-89,-77,-76,-87,-86,14
-77,-76,-87,-86,-61,14
-76,-87,-86,-61,-89,14
-87,-86,-61,-89,-63,14
-86,-61,-89,-63,-66,14
-61,-89,-63,-66,-90,14
-89,-63,-66,-90,-63,14
-63,-66,-90,-63,-83,14
-66,-90,-63,-83,-88,14
-90,-63,-83,-88,-67,14
-63,-83,-88,-67,-69,14
-83,-88,-67,-69,-63,14
-88,-67,-69,-63,-76,14
-67,-69,-63,-76,-63,14
-69,-63,-76,-63,-61,14
-63,-76,-63,-61,-62,14
-76,-63,-61,-62,-82,14
-63,-61,-62,-82,-66,14
-61,-62,-82,-66,-85,14
-62,-82,-66,-85,-67,14
-82,-66,-85,-67,-83,14
-66,-85,-67,-83,-72,14
-85,-67,-83,-72,-62,14
-67,-83,-72,-62,-77,14
-83,-72,-62,-77,-84,14
-72,-62,-77,-84,-67,14
-62,-77,-84,-67,-84,14
-77,-84,-67,-84,-85,14
-84,-67,-84,-85,-76,14
-67,-84,-85,-76,-61,14
-84,-85,-76,-61,-84,14
-85,-76,-61,-84,-61,14
-76,-61,-84,-61,-43,14
-61,-84,-61,-43,-61,14
-84,-61,-43,-61,-67,14
-61,-43,-61,-67,-61,14
-43,-61,-67,-61,-67,14
-61,-67,-61,-67,-67,14
-67,-61,-67,-67,-61,14
-61,-67,-67,-61,-67,14
-67,-67,-61,-67,-62,14
-67,-61,-67,-62,-66,14
-61,-67,-62,-66,-82,14
-67,-62,-66,-82,-63,14
-62,-66,-82,-63,-71,14
-66,-82,-63,-71,-71,14
-82,-63,-71,-71,-63,14
-63,-71,-71,-63,-61,14
-71,-71,-63,-61,-67,14
-71,-63,-61,-67,-67,14
-63,-61,-67,-67,-83,14
-61,-67,-67,-83,-83,14
-67,-67,-83,-83,-83,14
-67,-83,-83,-83,-67,14
-83,-83,-83,-67,-82,14
-83,-83,-67,-82,-67,14
-83,-67,-82,-67,-67,14
-67,-82,-67,-67,-83,14
-82,-67,-67,-83,-67,14
-67,-67,-83,-67,-63,14
-67,-83,-67,-63,-67,14
-83,-67,-63,-67,-67,14
-67,-63,-67,-67,-85,14
-63,-67,-67,-85,-61,14
-67,-67,-85,-61,-67,14
-67,-85,-61,-67,-67,14
-85,-61,-67,-67,-83,14
-61,-67,-67,-83,-49,14
-67,-67,-83,-49,-82,14
-67,-83,-49,-82,-63,14
-83,-49,-82,-63,-72,14
-49,-82,-63,-72,-63,14
-82,-63,-72,-63,-63,14
-63,-72,-63,-63,-49,14
-72,-63,-63,-49,-75,14
-63,-63,-49,-75,-63,14
-63,-49,-75,-63,-63,14
-49,-75,-63,-63,-67,14
-75,-63,-63,-67,-64,14
-63,-63,-67,-64,-69,14
-63,-67,-64,-69,-69,14
-67,-64,-69,-69,-85,14
-64,-69,-69,-85,-64,14
-69,-69,-85,-64,-84,14
-69,-85,-64,-84,-75,14
-85,-64,-84,-75,-63,14
-64,-84,-75,-63,-58,14
-84,-75,-63,-58,-84,14
-75,-63,-58,-84,-84,14
-63,-58,-84,-84,-66,14
-58,-84,-84,-66,-69,14
-84,-84,-66,-69,-69,14
-84,-66,-69,-69,-84,14
-66,-69,-69,-84,-84,14
-69,-69,-84,-84,-73,14
-69,-84,-84,-73,-82,14
-84,-84,-73,-82,-70,14
-84,-73,-82,-70,-66,14
-73,-82,-70,-66,-81,14
-82,-70,-66,-81,-74,14
-70,-66,-81,-74,-77,14
-66,-81,-74,-77,-69,14
-81,-74,-77,-69,-66,14
-74,-77,-69,-66,-63,14
-77,-69,-66,-63,-70,14
-69,-66,-63,-70,-75,14
-66,-63,-70,-75,-66,14
-63,-70,-75,-66,-70,14
-70,-75,-66,-70,-75,14
-75,-66,-70,-75,-63,14
-66,-70,-75,-63,-63,14
-70,-75,-63,-63,-63,14
-75,-63,-63,-63,-69,14
-63,-63,-63,-69,-66,14
-63,-63,-69,-66,-63,14
-63,-69,-66,-63,-70,14
-69,-66,-63,-70,-70,14
-66,-63,-70,-70,-76,14
-63,-70,-70,-76,-77,14
-70,-70,-76,-77,-63,14
-70,-76,-77,-63,-70,14
-76,-77,-63,-70,-70,14
-77,-63,-70,-70,-63,14
-63,-70,-70,-63,-82,14
-70,-70,-63,-82,-61,14
-70,-63,-82,-61,-63,14
-63,-82,-61,-63,-63,14
-82,-61,-63,-63,-86,14
-61,-63,-63,-86,-70,14
-63,-63,-86,-70,-64,14
-63,-86,-70,-64,-63,14
-86,-70,-64,-63,-68,14
-70,-64,-63,-68,-69,14
-64,-63,-68,-69,-84,14
-63,-68,-69,-84,-70,14
-68,-69,-84,-70,-63,14
-69,-84,-70,-63,-69,14
-84,-70,-63,-69,-68,14
-70,-63,-69,-68,-70,14
-63,-69,-68,-70,-63,14
-69,-68,-70,-63,-63,14
-68,-70,-63,-63,-63,14
-70,-63,-63,-63,-69,14
-63,-63,-63,-69,-70,14
-63,-63,-69,-70,-70,14
-63,-69,-70,-70,-70,14
-69,-70,-70,-70,-63,14
-70,-70,-70,-63,-63,14
-70,-70,-63,-63,-83,14
-70,-63,-63,-83,-64,14
-63,-63,-83,-64,-66,14
-63,-83,-64,-66,-84,14
-83,-64,-66,-84,-70,14
-64,-66,-84,-70,-70,14
-66,-84,-70,-70,-63,14
-84,-70,-70,-63,-63,14
-70,-70,-63,-63,-74,14
-70,-63,-63,-74,-70,14
-63,-63,-74,-70,-64,14
-63,-74,-70,-64,-84,14
-74,-70,-64,-84,-63,14
-70,-64,-84,-63,-63,14
-64,-84,-63,-63,-69,14
