x1,x2,x3,x4,x5,distance
-61,-60,-67,-68,-61,7
-60,-67,-68,-61,-63,7
-67,-68,-61,-63,-75,7
-68,-61,-63,-75,-61,7
-61,-63,-75,-61,-60,7
-63,-75,-61,-60,-62,7
-75,-61,-60,-62,-75,7
-61,-60,-62,-75,-62,7
-60,-62,-75,-62,-73,7
-62,-75,-62,-73,-63,7
-75,-62,-73,-63,-62,7
-62,-73,-63,-62,-65,7
-73,-63,-62,-65,-61,7
-63,-62,-65,-61,-61,7
-62,-65,-61,-61,-67,7
-65,-61,-61,-67,-61,7
-61,-61,-67,-61,-63,7
-61,-67,-61,-63,-61,7
-67,-61,-63,-61,-74,7
-61,-63,-61,-74,-61,7
-63,-61,-74,-61,-72,7
-61,-74,-61,-72,-73,7
-74,-61,-72,-73,-61,7
-61,-72,-73,-61,-60,7
-72,-73,-61,-60,-71,7
-73,-61,-60,-71,-73,7
-61,-60,-71,-73,-67,7
-60,-71,-73,-67,-68,7
-71,-73,-67,-68,-61,7
-73,-67,-68,-61,-66,7
-67,-68,-61,-66,-63,7
-68,-61,-66,-63,-61,7
-61,-66,-63,-61,-67,7
-66,-63,-61,-67,-62,7
-63,-61,-67,-62,-63,7
-61,-67,-62,-63,-58,7
-67,-62,-63,-58,-63,7
-62,-63,-58,-63,-62,7
-63,-58,-63,-62,-73,7
-58,-63,-62,-73,-67,7
-63,-62,-73,-67,-75,7
-62,-73,-67,-75,-67,7
-73,-67,-75,-67,-73,7
-67,-75,-67,-73,-60,7
-75,-67,-73,-60,-63,7
-67,-73,-60,-63,-58,7
-73,-60,-63,-58,-63,7
-60,-63,-58,-63,-58,7
-63,-58,-63,-58,-63,7
-58,-63,-58,-63,-61,7
-63,-58,-63,-61,-63,7
-58,-63,-61,-63,-73,7
-63,-61,-63,-73,-63,7
-61,-63,-73,-63,-74,7
-63,-73,-63,-74,-75,7
-73,-63,-74,-75,-73,7
-63,-74,-75,-73,-63,7
-74,-75,-73,-63,-63,7
-75,-73,-63,-63,-74,7
-73,-63,-63,-74,-61,7
-63,-63,-74,-61,-73,7
-63,-74,-61,-73,-66,7
-74,-61,-73,-66,-63,7
-61,-73,-66,-63,-62,7
-73,-66,-63,-62,-65,7
-66,-63,-62,-65,-61,7
-63,-62,-65,-61,-60,7
-62,-65,-61,-60,-67,7
