x1,x2,x3,x4,x5,distance
-66,-64,-64,-63,-63,30
-64,-64,-63,-63,-63,30
-64,-63,-63,-63,-66,30
-63,-63,-63,-66,-80,30
-63,-63,-66,-80,-63,30
-63,-66,-80,-63,-63,30
-66,-80,-63,-63,-63,30
-80,-63,-63,-63,-63,30
-63,-63,-63,-63,-64,30
-63,-63,-63,-64,-64,30
-63,-63,-64,-64,-64,30
-63,-64,-64,-64,-81,30
-64,-64,-64,-81,-64,30
-64,-64,-81,-64,-61,30
-64,-81,-64,-61,-63,30
-81,-64,-61,-63,-84,30
-64,-61,-63,-84,-63,30
-61,-63,-84,-63,-64,30
-63,-84,-63,-64,-82,30
-84,-63,-64,-82,-85,30
-63,-64,-82,-85,-64,30
-64,-82,-85,-64,-64,30
-82,-85,-64,-64,-89,30
-85,-64,-64,-89,-61,30
-64,-64,-89,-61,-86,30
-64,-89,-61,-86,-64,30
-89,-61,-86,-64,-84,30
-61,-86,-64,-84,-61,30
-86,-64,-84,-61,-64,30
-64,-84,-61,-64,-64,30
-84,-61,-64,-64,-82,30
-61,-64,-64,-82,-64,30
-64,-64,-82,-64,-61,30
-64,-82,-64,-61,-64,30
-82,-64,-61,-64,-84,30
-64,-61,-64,-84,-64,30
-61,-64,-84,-64,-82,30
-64,-84,-64,-82,-85,30
-84,-64,-82,-85,-64,30
-64,-82,-85,-64,-61,30
-82,-85,-64,-61,-85,30
-85,-64,-61,-85,-64,30
-64,-61,-85,-64,-84,30
-61,-85,-64,-84,-64,30
-85,-64,-84,-64,-61,30
-64,-84,-64,-61,-64,30
-84,-64,-61,-64,-64,30
-64,-61,-64,-64,-85,30
-61,-64,-64,-85,-64,30
-64,-64,-85,-64,-64,30
-64,-85,-64,-64,-64,30
-85,-64,-64,-64,-85,30
-64,-64,-64,-85,-64,30
-64,-64,-85,-64,-64,30
-64,-85,-64,-64,-64,30
-85,-64,-64,-64,-64,30
-64,-64,-64,-64,-85,30
-64,-64,-64,-85,-64,30
-64,-64,-85,-64,-63,30
-64,-85,-64,-63,-64,30
-85,-64,-63,-64,-83,30
-64,-63,-64,-83,-64,30
-63,-64,-83,-64,-64,30
-64,-83,-64,-64,-64,30
-83,-64,-64,-64,-64,30
-64,-64,-64,-64,-85,30
-64,-64,-64,-85,-63,30
-64,-64,-85,-63,-85,30
-64,-85,-63,-85,-85,30
