x1,x2,x3,x4,x5,distance
-69,-68,-67,-66,-72,10
-68,-67,-66,-72,-79,10
-67,-66,-72,-79,-79,10
-66,-72,-79,-79,-72,10
-72,-79,-79,-72,-78,10
-79,-79,-72,-78,-72,10
-79,-72,-78,-72,-77,10
-72,-78,-72,-77,-80,10
-78,-72,-77,-80,-69,10
-72,-77,-80,-69,-77,10
-77,-80,-69,-77,-69,10
-80,-69,-77,-69,-71,10
-69,-77,-69,-71,-68,10
-77,-69,-71,-68,-72,10
-69,-71,-68,-72,-70,10
-71,-68,-72,-70,-70,10
-68,-72,-70,-70,-67,10
-72,-70,-70,-67,-68,10
-70,-70,-67,-68,-69,10
-70,-67,-68,-69,-67,10
-67,-68,-69,-67,-69,10
-68,-69,-67,-69,-67,10
-69,-67,-69,-67,-69,10
-67,-69,-67,-69,-69,10
-69,-67,-69,-69,-86,10
-67,-69,-69,-86,-91,10
-69,-69,-86,-91,-69,10
-69,-86,-91,-69,-69,10
-86,-91,-69,-69,-69,10
-91,-69,-69,-69,-69,10
-69,-69,-69,-69,-69,10
-69,-69,-69,-69,-70,10
-69,-69,-69,-70,-70,10
-69,-69,-70,-70,-70,10
-69,-70,-70,-70,-87,10
-70,-70,-70,-87,-66,10
-70,-70,-87,-66,-67,10
-70,-87,-66,-67,-78,10
-87,-66,-67,-78,-77,10
-66,-67,-78,-77,-78,10
-67,-78,-77,-78,-69,10
-78,-77,-78,-69,-78,10
-77,-78,-69,-78,-68,10
-78,-69,-78,-68,-80,10
-69,-78,-68,-80,-78,10
-78,-68,-80,-78,-78,10
-68,-80,-78,-78,-67,10
-80,-78,-78,-67,-75,10
-78,-78,-67,-75,-68,10
-78,-67,-75,-68,-74,10
-67,-75,-68,-74,-78,10
-75,-68,-74,-78,-78,10
-68,-74,-78,-78,-77,10
-74,-78,-78,-77,-78,10
-78,-78,-77,-78,-78,10
-78,-77,-78,-78,-77,10
-77,-78,-78,-77,-78,10
-78,-78,-77,-78,-79,10
-78,-77,-78,-79,-78,10
-77,-78,-79,-78,-69,10
-78,-79,-78,-69,-81,10
-79,-78,-69,-81,-78,10
-78,-69,-81,-78,-67,10
-69,-81,-78,-67,-78,10
-81,-78,-67,-78,-78,10
-78,-67,-78,-78,-78,10
-67,-78,-78,-78,-67,10
-78,-78,-78,-67,-72,10
-78,-78,-67,-72,-67,10
-78,-67,-72,-67,-78,10
-67,-72,-67,-78,-78,10
-72,-67,-78,-78,-67,10
-67,-78,-78,-67,-77,10
-78,-78,-67,-77,-78,10
-78,-67,-77,-78,-75,10
-67,-77,-78,-75,-75,10
-77,-78,-75,-75,-85,10
-78,-75,-75,-85,-80,10
-75,-75,-85,-80,-82,10
-75,-85,-80,-82,-77,10
-85,-80,-82,-77,-69,10
-80,-82,-77,-69,-69,10
-82,-77,-69,-69,-76,10
-77,-69,-69,-76,-70,10
-69,-69,-76,-70,-77,10
-69,-76,-70,-77,-75,10
-76,-70,-77,-75,-70,10
-70,-77,-75,-70,-72,10
-77,-75,-70,-72,-76,10
-75,-70,-72,-76,-81,10
-70,-72,-76,-81,-77,10
-72,-76,-81,-77,-81,10
-76,-81,-77,-81,-78,10
-81,-77,-81,-78,-70,10
-77,-81,-78,-70,-80,10
-81,-78,-70,-80,-69,10
-78,-70,-80,-69,-69,10
-70,-80,-69,-69,-79,10
-80,-69,-69,-79,-78,10
-69,-69,-79,-78,-77,10
-69,-79,-78,-77,-69,10
-79,-78,-77,-69,-70,10
-78,-77,-69,-70,-76,10
-77,-69,-70,-76,-66,10
-69,-70,-76,-66,-77,10
-70,-76,-66,-77,-73,10
-76,-66,-77,-73,-71,10
-66,-77,-73,-71,-76,10
-77,-73,-71,-76,-78,10
-73,-71,-76,-78,-69,10
-71,-76,-78,-69,-69,10
-76,-78,-69,-69,-78,10
-78,-69,-69,-78,-70,10
-69,-69,-78,-70,-77,10
-69,-78,-70,-77,-76,10
-78,-70,-77,-76,-69,10
-70,-77,-76,-69,-69,10
-77,-76,-69,-69,-69,10
-76,-69,-69,-69,-82,10
-69,-69,-69,-82,-79,10
-69,-69,-82,-79,-69,10
-69,-82,-79,-69,-69,10
-82,-79,-69,-69,-66,10
-79,-69,-69,-66,-78,10
-69,-69,-66,-78,-68,10
-69,-66,-78,-68,-72,10
-66,-78,-68,-72,-72,10
-78,-68,-72,-72,-78,10
-68,-72,-72,-78,-81,10
-72,-72,-78,-81,-80,10
-72,-78,-81,-80,-67,10
-78,-81,-80,-67,-82,10
-81,-80,-67,-82,-76,10
-80,-67,-82,-76,-69,10
-67,-82,-76,-69,-69,10
-82,-76,-69,-69,-77,10
-76,-69,-69,-77,-76,10
-69,-69,-77,-76,-82,10
-69,-77,-76,-82,-73,10
-77,-76,-82,-73,-75,10
-76,-82,-73,-75,-79,10
-82,-73,-75,-79,-72,10
-73,-75,-79,-72,-78,10
-75,-79,-72,-78,-77,10
-79,-72,-78,-77,-81,10
-72,-78,-77,-81,-77,10
-78,-77,-81,-77,-69,10
-77,-81,-77,-69,-72,10
-81,-77,-69,-72,-78,10
-77,-69,-72,-78,-75,10
-69,-72,-78,-75,-82,10
-72,-78,-75,-82,-75,10
-78,-75,-82,-75,-69,10
-75,-82,-75,-69,-91,10
-82,-75,-69,-91,-69,10
-75,-69,-91,-69,-69,10
-69,-91,-69,-69,-80,10
-91,-69,-69,-80,-81,10
-69,-69,-80,-81,-81,10
-69,-80,-81,-81,-69,10
-80,-81,-81,-69,-67,10
-81,-81,-69,-67,-84,10
-81,-69,-67,-84,-78,10
-69,-67,-84,-78,-70,10
-67,-84,-78,-70,-78,10
-84,-78,-70,-78,-69,10
-78,-70,-78,-69,-81,10
-70,-78,-69,-81,-85,10
-78,-69,-81,-85,-88,10
-69,-81,-85,-88,-70,10
-81,-85,-88,-70,-69,10
-85,-88,-70,-69,-78,10
-88,-70,-69,-78,-88,10
-70,-69,-78,-88,-67,10
-69,-78,-88,-67,-82,10
-78,-88,-67,-82,-79,10
-88,-67,-82,-79,-79,10
-67,-82,-79,-79,-87,10
-82,-79,-79,-87,-75,10
-79,-79,-87,-75,-69,10
-79,-87,-75,-69,-70,10
-87,-75,-69,-70,-76,10
-75,-69,-70,-76,-77,10
-69,-70,-76,-77,-74,10
-70,-76,-77,-74,-76,10
-76,-77,-74,-76,-71,10
-77,-74,-76,-71,-82,10
-74,-76,-71,-82,-79,10
-76,-71,-82,-79,-72,10
-71,-82,-79,-72,-66,10
-82,-79,-72,-66,-76,10
-79,-72,-66,-76,-69,10
-72,-66,-76,-69,-69,10
-66,-76,-69,-69,-86,10
-76,-69,-69,-86,-69,10
-69,-69,-86,-69,-84,10
-69,-86,-69,-84,-83,10
-86,-69,-84,-83,-81,10
-69,-84,-83,-81,-84,10
-84,-83,-81,-84,-69,10
-83,-81,-84,-69,-79,10
-81,-84,-69,-79,-84,10
-84,-69,-79,-84,-83,10
-69,-79,-84,-83,-82,10
-79,-84,-83,-82,-79,10
-84,-83,-82,-79,-75,10
-83,-82,-79,-75,-82,10
-82,-79,-75,-82,-70,10
-79,-75,-82,-70,-69,10
-75,-82,-70,-69,-78,10
-82,-70,-69,-78,-74,10
-70,-69,-78,-74,-69,10
-69,-78,-74,-69,-69,10
-78,-74,-69,-69,-75,10
-74,-69,-69,-75,-69,10
-69,-69,-75,-69,-75,10
-69,-75,-69,-75,-74,10
-75,-69,-75,-74,-75,10
-69,-75,-74,-75,-69,10
-75,-74,-75,-69,-79,10
-61,-72,-73,-72,-65,10
-72,-73,-72,-65,-69,10
-73,-72,-65,-69,-66,10
-72,-65,-69,-66,-60,10
-65,-69,-66,-60,-61,10
-69,-66,-60,-61,-72,10
-66,-60,-61,-72,-72,10
-60,-61,-72,-72,-65,10
-61,-72,-72,-65,-64,10
-72,-72,-65,-64,-70,10
-72,-65,-64,-70,-58,10
-65,-64,-70,-58,-58,10
-64,-70,-58,-58,-66,10
-70,-58,-58,-66,-65,10
-58,-58,-66,-65,-61,10
-58,-66,-65,-61,-63,10
-66,-65,-61,-63,-64,10
-65,-61,-63,-64,-61,10
-61,-63,-64,-61,-63,10
-63,-64,-61,-63,-62,10
-64,-61,-63,-62,-64,10
-61,-63,-62,-64,-70,10
-63,-62,-64,-70,-66,10
-62,-64,-70,-66,-72,10
-64,-70,-66,-72,-61,10
-70,-66,-72,-61,-64,10
-66,-72,-61,-64,-72,10
-72,-61,-64,-72,-64,10
-61,-64,-72,-64,-70,10
-64,-72,-64,-70,-67,10
-72,-64,-70,-67,-58,10
-64,-70,-67,-58,-67,10
-70,-67,-58,-67,-66,10
-67,-58,-67,-66,-66,10
-58,-67,-66,-66,-62,10
-67,-66,-66,-62,-64,10
-66,-66,-62,-64,-61,10
-66,-62,-64,-61,-60,10
-62,-64,-61,-60,-66,10
-64,-61,-60,-66,-65,10
-61,-60,-66,-65,-72,10
-60,-66,-65,-72,-66,10
-66,-65,-72,-66,-60,10
-65,-72,-66,-60,-72,10
-72,-66,-60,-72,-58,10
-66,-60,-72,-58,-63,10
-60,-72,-58,-63,-68,10
-72,-58,-63,-68,-72,10
-58,-63,-68,-72,-69,10
-63,-68,-72,-69,-61,10
-68,-72,-69,-61,-61,10
-72,-69,-61,-61,-61,10
-69,-61,-61,-61,-61,10
-61,-61,-61,-61,-61,10
-61,-61,-61,-61,-58,10
-61,-61,-61,-58,-71,10
-61,-61,-58,-71,-61,10
-61,-58,-71,-61,-69,10
-58,-71,-61,-69,-66,10
-71,-61,-69,-66,-64,10
-61,-69,-66,-64,-58,10
-69,-66,-64,-58,-59,10
-66,-64,-58,-59,-64,10
-64,-58,-59,-64,-66,10
-58,-59,-64,-66,-66,10
-59,-64,-66,-66,-72,10
-64,-66,-66,-72,-64,10
-66,-66,-72,-64,-66,10
-66,-72,-64,-66,-72,10
-72,-64,-66,-72,-64,10
-64,-66,-72,-64,-64,10
-66,-72,-64,-64,-61,10
-72,-64,-64,-61,-64,10
-64,-64,-61,-64,-61,10
-64,-61,-64,-61,-64,10
-61,-64,-61,-64,-64,10
-64,-61,-64,-64,-66,10
-61,-64,-64,-66,-64,10
-64,-64,-66,-64,-60,10
-64,-66,-64,-60,-61,10
-66,-64,-60,-61,-64,10
-64,-60,-61,-64,-63,10
-60,-61,-64,-63,-62,10
-61,-64,-63,-62,-72,10
-64,-63,-62,-72,-61,10
-63,-62,-72,-61,-66,10
-62,-72,-61,-66,-61,10
-72,-61,-66,-61,-73,10
-61,-66,-61,-73,-64,10
-66,-61,-73,-64,-70,10
-61,-73,-64,-70,-61,10
-73,-64,-70,-61,-72,10
-64,-70,-61,-72,-64,10
-70,-61,-72,-64,-64,10
-61,-72,-64,-64,-58,10
-72,-64,-64,-58,-72,10
-64,-64,-58,-72,-72,10
-64,-58,-72,-72,-72,10
-58,-72,-72,-72,-61,10
-72,-72,-72,-61,-72,10
-72,-72,-61,-72,-64,10
-72,-61,-72,-64,-72,10
-61,-72,-64,-72,-72,10
-72,-64,-72,-72,-65,10
-64,-72,-72,-65,-72,10
-72,-72,-65,-72,-72,10
-72,-65,-72,-72,-72,10
-65,-72,-72,-72,-72,10
-72,-72,-72,-72,-66,10
-72,-72,-72,-66,-58,10
-72,-72,-66,-58,-66,10
-72,-66,-58,-66,-66,10
-66,-58,-66,-66,-66,10
-58,-66,-66,-66,-72,10
-66,-66,-66,-72,-61,10
-66,-66,-72,-61,-66,10
-66,-72,-61,-66,-72,10
-72,-61,-66,-72,-66,10
-61,-66,-72,-66,-63,10
-66,-72,-66,-63,-61,10
-72,-66,-63,-61,-58,10
-66,-63,-61,-58,-63,10
-63,-61,-58,-63,-72,10
-61,-58,-63,-72,-71,10
-58,-63,-72,-71,-58,10
-63,-72,-71,-58,-63,10
-72,-71,-58,-63,-58,10
-71,-58,-63,-58,-66,10
-58,-63,-58,-66,-69,10
-63,-58,-66,-69,-61,10
-58,-66,-69,-61,-66,10
-66,-69,-61,-66,-72,10
-69,-61,-66,-72,-61,10
-61,-66,-72,-61,-68,10
-66,-72,-61,-68,-61,10
-72,-61,-68,-61,-61,10
-61,-68,-61,-61,-61,10
-68,-61,-61,-61,-63,10
-61,-61,-61,-63,-62,10
-61,-61,-63,-62,-61,10
-61,-63,-62,-61,-66,10
-63,-62,-61,-66,-66,10
-62,-61,-66,-66,-70,10
-61,-66,-66,-70,-64,10
-66,-66,-70,-64,-73,10
-66,-70,-64,-73,-73,10
-70,-64,-73,-73,-60,10
-64,-73,-73,-60,-67,10
-73,-73,-60,-67,-70,10
-73,-60,-67,-70,-72,10
-60,-67,-70,-72,-61,10
-67,-70,-72,-61,-60,10
-70,-72,-61,-60,-72,10
-72,-61,-60,-72,-72,10
-61,-60,-72,-72,-63,10
-60,-72,-72,-63,-58,10
-72,-72,-63,-58,-72,10
-72,-63,-58,-72,-72,10
-63,-58,-72,-72,-61,10
-58,-72,-72,-61,-64,10
-72,-72,-61,-64,-72,10
-72,-61,-64,-72,-61,10
-61,-64,-72,-61,-66,10
-64,-72,-61,-66,-61,10
-72,-61,-66,-61,-66,10
-61,-66,-61,-66,-61,10
-66,-61,-66,-61,-61,10
-61,-66,-61,-61,-73,10
-66,-61,-61,-73,-73,10
-61,-61,-73,-73,-61,10
-61,-73,-73,-61,-72,10
-73,-73,-61,-72,-61,10
-73,-61,-72,-61,-66,10
-61,-72,-61,-66,-66,10
-72,-61,-66,-66,-70,10
-61,-66,-66,-70,-61,10
-66,-66,-70,-61,-66,10
-66,-70,-61,-66,-72,10
-70,-61,-66,-72,-62,10
-61,-66,-72,-62,-72,10
-66,-72,-62,-72,-61,10
-72,-62,-72,-61,-72,10
-62,-72,-61,-72,-72,10
-72,-61,-72,-72,-72,10
-61,-72,-72,-72,-64,10
-72,-72,-72,-64,-69,10
-72,-72,-64,-69,-64,10
-72,-64,-69,-64,-66,10
-64,-69,-64,-66,-72,10
-69,-64,-66,-72,-72,10
-64,-66,-72,-72,-69,10
-66,-72,-72,-69,-61,10
-72,-72,-69,-61,-60,10
-72,-69,-61,-60,-60,10
-69,-61,-60,-60,-62,10
-61,-60,-60,-62,-72,10
-60,-60,-62,-72,-69,10
-60,-62,-72,-69,-62,10
-62,-72,-69,-62,-72,10
-72,-69,-62,-72,-60,10
-69,-62,-72,-60,-69,10
-62,-72,-60,-69,-72,10
-72,-60,-69,-72,-72,10
-60,-69,-72,-72,-61,10
-69,-72,-72,-61,-68,10
-72,-72,-61,-68,-61,10
-72,-61,-68,-61,-70,10
-61,-68,-61,-70,-64,10
-68,-61,-70,-64,-64,10
-61,-70,-64,-64,-61,10
-70,-64,-64,-61,-66,10
-64,-64,-61,-66,-67,10
-64,-61,-66,-67,-62,10
-61,-66,-67,-62,-72,10
-66,-67,-62,-72,-67,10
-67,-62,-72,-67,-61,10
-62,-72,-67,-61,-73,10
