x1,x2,x3,x4,x5,distance
-52,-53,-54,-44,-50,2
-53,-54,-44,-50,-47,2
-54,-44,-50,-47,-46,2
-44,-50,-47,-46,-47,2
-50,-47,-46,-47,-44,2
-47,-46,-47,-44,-47,2
-46,-47,-44,-47,-52,2
-47,-44,-47,-52,-46,2
-44,-47,-52,-46,-46,2
-47,-52,-46,-46,-45,2
-52,-46,-46,-45,-44,2
-46,-46,-45,-44,-52,2
-46,-45,-44,-52,-47,2
-45,-44,-52,-47,-54,2
-44,-52,-47,-54,-46,2
-52,-47,-54,-46,-46,2
-47,-54,-46,-46,-49,2
-54,-46,-46,-49,-47,2
-46,-46,-49,-47,-46,2
-46,-49,-47,-46,-54,2
-49,-47,-46,-54,-45,2
-47,-46,-54,-45,-54,2
-46,-54,-45,-54,-46,2
-54,-45,-54,-46,-45,2
-45,-54,-46,-45,-52,2
-54,-46,-45,-52,-45,2
-46,-45,-52,-45,-46,2
-45,-52,-45,-46,-44,2
-52,-45,-46,-44,-52,2
-45,-46,-44,-52,-46,2
-46,-44,-52,-46,-53,2
-44,-52,-46,-53,-46,2
-52,-46,-53,-46,-46,2
-46,-53,-46,-46,-46,2
-53,-46,-46,-46,-46,2
-46,-46,-46,-46,-46,2
-46,-46,-46,-46,-46,2
-46,-46,-46,-46,-53,2
-46,-46,-46,-53,-46,2
-46,-46,-53,-46,-47,2
-46,-53,-46,-47,-45,2
-53,-46,-47,-45,-49,2
-46,-47,-45,-49,-46,2
-47,-45,-49,-46,-54,2
-45,-49,-46,-54,-53,2
-49,-46,-54,-53,-52,2
-46,-54,-53,-52,-53,2
-54,-53,-52,-53,-45,2
-53,-52,-53,-45,-46,2
-52,-53,-45,-46,-54,2
-53,-45,-46,-54,-44,2
-45,-46,-54,-44,-47,2
-46,-54,-44,-47,-46,2
-54,-44,-47,-46,-44,2
-44,-47,-46,-44,-53,2
-47,-46,-44,-53,-47,2
-46,-44,-53,-47,-47,2
-44,-53,-47,-47,-45,2
-53,-47,-47,-45,-53,2
-47,-47,-45,-53,-54,2
-47,-45,-53,-54,-50,2
-45,-53,-54,-50,-50,2
-53,-54,-50,-50,-45,2
-54,-50,-50,-45,-54,2
-50,-50,-45,-54,-44,2
-50,-45,-54,-44,-47,2
-45,-54,-44,-47,-47,2
-54,-44,-47,-47,-54,2
-44,-47,-47,-54,-44,2
-47,-47,-54,-44,-54,2
-47,-54,-44,-54,-44,2
-54,-44,-54,-44,-42,2
-44,-54,-44,-42,-54,2
-54,-44,-42,-54,-43,2
-44,-42,-54,-43,-45,2
-42,-54,-43,-45,-44,2
-54,-43,-45,-44,-46,2
-43,-45,-44,-46,-46,2
-45,-44,-46,-46,-49,2
-44,-46,-46,-49,-54,2
-46,-46,-49,-54,-44,2
-46,-49,-54,-44,-44,2
-49,-54,-44,-44,-54,2
-54,-44,-44,-54,-44,2
-44,-44,-54,-44,-53,2
-44,-54,-44,-53,-54,2
-54,-44,-53,-54,-45,2
-44,-53,-54,-45,-44,2
-53,-54,-45,-44,-44,2
-54,-45,-44,-44,-45,2
-45,-44,-44,-45,-48,2
-44,-44,-45,-48,-45,2
-44,-45,-48,-45,-54,2
-45,-48,-45,-54,-46,2
-48,-45,-54,-46,-47,2
-45,-54,-46,-47,-52,2
-54,-46,-47,-52,-50,2
-46,-47,-52,-50,-44,2
-47,-52,-50,-44,-44,2
-52,-50,-44,-44,-44,2
-50,-44,-44,-44,-46,2
-44,-44,-44,-46,-46,2
-44,-44,-46,-46,-52,2
-44,-46,-46,-52,-54,2
-46,-46,-52,-54,-43,2
-46,-52,-54,-43,-44,2
-52,-54,-43,-44,-47,2
-54,-43,-44,-47,-54,2
-43,-44,-47,-54,-44,2
-44,-47,-54,-44,-44,2
-47,-54,-44,-44,-45,2
-54,-44,-44,-45,-47,2
-44,-44,-45,-47,-45,2
-44,-45,-47,-45,-44,2
-45,-47,-45,-44,-49,2
-47,-45,-44,-49,-54,2
-45,-44,-49,-54,-53,2
-44,-49,-54,-53,-53,2
-49,-54,-53,-53,-47,2
-54,-53,-53,-47,-54,2
-53,-53,-47,-54,-45,2
-53,-47,-54,-45,-53,2
-47,-54,-45,-53,-46,2
-54,-45,-53,-46,-46,2
-45,-53,-46,-46,-46,2
-53,-46,-46,-46,-45,2
-46,-46,-46,-45,-46,2
-46,-46,-45,-46,-46,2
-46,-45,-46,-46,-47,2
-45,-46,-46,-47,-49,2
-46,-46,-47,-49,-44,2
-46,-47,-49,-44,-45,2
-47,-49,-44,-45,-46,2
-49,-44,-45,-46,-54,2
-44,-45,-46,-54,-46,2
-45,-46,-54,-46,-53,2
-46,-54,-46,-53,-47,2
-54,-46,-53,-47,-54,2
-46,-53,-47,-54,-44,2
-53,-47,-54,-44,-46,2
-47,-54,-44,-46,-47,2
-54,-44,-46,-47,-46,2
-44,-46,-47,-46,-46,2
-46,-47,-46,-46,-45,2
-47,-46,-46,-45,-47,2
-46,-46,-45,-47,-53,2
-46,-45,-47,-53,-45,2
-45,-47,-53,-45,-46,2
-47,-53,-45,-46,-45,2
-53,-45,-46,-45,-46,2
-45,-46,-45,-46,-53,2
-46,-45,-46,-53,-45,2
-45,-46,-53,-45,-47,2
-46,-53,-45,-47,-45,2
-53,-45,-47,-45,-46,2
-45,-47,-45,-46,-45,2
-47,-45,-46,-45,-49,2
-45,-46,-45,-49,-48,2
-46,-45,-49,-48,-47,2
-45,-49,-48,-47,-46,2
-49,-48,-47,-46,-44,2
-48,-47,-46,-44,-44,2
-47,-46,-44,-44,-49,2
-46,-44,-44,-49,-46,2
-44,-44,-49,-46,-44,2
-44,-49,-46,-44,-54,2
-49,-46,-44,-54,-49,2
-46,-44,-54,-49,-54,2
-44,-54,-49,-54,-46,2
-54,-49,-54,-46,-45,2
-49,-54,-46,-45,-54,2
-54,-46,-45,-54,-54,2
-46,-45,-54,-54,-44,2
-45,-54,-54,-44,-46,2
-54,-54,-44,-46,-46,2
-54,-44,-46,-46,-54,2
-44,-46,-46,-54,-54,2
-46,-46,-54,-54,-44,2
-46,-54,-54,-44,-47,2
-54,-54,-44,-47,-53,2
-54,-44,-47,-53,-53,2
-44,-47,-53,-53,-54,2
-47,-53,-53,-54,-52,2
-53,-53,-54,-52,-44,2
-53,-54,-52,-44,-45,2
-54,-52,-44,-45,-54,2
-52,-44,-45,-54,-45,2
-44,-45,-54,-45,-54,2
-45,-54,-45,-54,-53,2
-54,-45,-54,-53,-47,2
-45,-54,-53,-47,-44,2
-54,-53,-47,-44,-54,2
-53,-47,-44,-54,-47,2
-47,-44,-54,-47,-43,2
-44,-54,-47,-43,-43,2
-54,-47,-43,-43,-45,2
-47,-43,-43,-45,-53,2
-43,-43,-45,-53,-54,2
-43,-45,-53,-54,-46,2
-45,-53,-54,-46,-48,2
-53,-54,-46,-48,-46,2
-54,-46,-48,-46,-44,2
-46,-48,-46,-44,-46,2
-48,-46,-44,-46,-47,2
-46,-44,-46,-47,-46,2
-44,-46,-47,-46,-45,2
-46,-47,-46,-45,-53,2
-47,-46,-45,-53,-53,2
-46,-45,-53,-53,-53,2
-45,-53,-53,-53,-54,2
-53,-53,-53,-54,-47,2
-53,-53,-54,-47,-45,2
-53,-54,-47,-45,-44,2
-54,-47,-45,-44,-50,2
-47,-45,-44,-50,-44,2
-45,-44,-50,-44,-49,2
-44,-50,-44,-49,-50,2
-50,-44,-49,-50,-47,2
-44,-49,-50,-47,-44,2
-49,-50,-47,-44,-53,2
-50,-47,-44,-53,-54,2
-47,-44,-53,-54,-47,2
-44,-53,-54,-47,-44,2
-53,-54,-47,-44,-53,2
-54,-47,-44,-53,-46,2
-47,-44,-53,-46,-47,2
-44,-53,-46,-47,-46,2
-53,-46,-47,-46,-44,2
