x1,x2,x3,x4,x5,distance
-76,-75,-70,-70,-75,15
-75,-70,-70,-75,-73,15
-70,-70,-75,-73,-76,15
-70,-75,-73,-76,-76,15
-75,-73,-76,-76,-76,15
-73,-76,-76,-76,-76,15
-76,-76,-76,-76,-76,15
-76,-76,-76,-76,-70,15
-76,-76,-76,-70,-75,15
-76,-76,-70,-75,-76,15
-76,-70,-75,-76,-76,15
-70,-75,-76,-76,-74,15
-75,-76,-76,-74,-77,15
-76,-76,-74,-77,-78,15
-76,-74,-77,-78,-72,15
-74,-77,-78,-72,-74,15
-77,-78,-72,-74,-72,15
-78,-72,-74,-72,-72,15
-72,-74,-72,-72,-82,15
-74,-72,-72,-82,-72,15
-72,-72,-82,-72,-76,15
-72,-82,-72,-76,-73,15
-82,-72,-76,-73,-75,15
-72,-76,-73,-75,-73,15
-76,-73,-75,-73,-48,15
-73,-75,-73,-48,-75,15
-75,-73,-48,-75,-70,15
-73,-48,-75,-70,-70,15
-48,-75,-70,-70,-73,15
-75,-70,-70,-73,-71,15
-70,-70,-73,-71,-72,15
-70,-73,-71,-72,-73,15
-73,-71,-72,-73,-70,15
-71,-72,-73,-70,-70,15
-72,-73,-70,-70,-73,15
-73,-70,-70,-73,-76,15
-70,-70,-73,-76,-73,15
-70,-73,-76,-73,-75,15
-73,-76,-73,-75,-73,15
-76,-73,-75,-73,-74,15
-73,-75,-73,-74,-73,15
-75,-73,-74,-73,-72,15
-73,-74,-73,-72,-72,15
-74,-73,-72,-72,-73,15
-73,-72,-72,-73,-75,15
-72,-72,-73,-75,-72,15
-72,-73,-75,-72,-75,15
-73,-75,-72,-75,-73,15
-75,-72,-75,-73,-75,15
-72,-75,-73,-75,-72,15
-75,-73,-75,-72,-72,15
-73,-75,-72,-72,-71,15
-75,-72,-72,-71,-70,15
-72,-72,-71,-70,-74,15
-72,-71,-70,-74,-73,15
-71,-70,-74,-73,-72,15
-70,-74,-73,-72,-71,15
-74,-73,-72,-71,-70,15
-73,-72,-71,-70,-75,15
-72,-71,-70,-75,-70,15
-71,-70,-75,-70,-73,15
-70,-75,-70,-73,-73,15
-75,-70,-73,-73,-73,15
-70,-73,-73,-73,-73,15
-73,-73,-73,-73,-49,15
-73,-73,-73,-49,-70,15
-73,-73,-49,-70,-72,15
-73,-49,-70,-72,-73,15
-49,-70,-72,-73,-73,15
-70,-72,-73,-73,-75,15
-72,-73,-73,-75,-76,15
-73,-73,-75,-76,-73,15
-73,-75,-76,-73,-78,15
-75,-76,-73,-78,-72,15
-76,-73,-78,-72,-72,15
-73,-78,-72,-72,-72,15
-78,-72,-72,-72,-72,15
-72,-72,-72,-72,-72,15
-72,-72,-72,-72,-72,15
-72,-72,-72,-72,-72,15
-72,-72,-72,-72,-72,15
-72,-72,-72,-72,-72,15
-72,-72,-72,-72,-48,15
-72,-72,-72,-48,-72,15
-72,-72,-48,-72,-73,15
-72,-48,-72,-73,-72,15
-48,-72,-73,-72,-71,15
-72,-73,-72,-71,-70,15
-73,-72,-71,-70,-72,15
-72,-71,-70,-72,-72,15
-71,-70,-72,-72,-70,15
-70,-72,-72,-70,-73,15
-72,-72,-70,-73,-71,15
-72,-70,-73,-71,-70,15
-70,-73,-71,-70,-70,15
-73,-71,-70,-70,-72,15
-71,-70,-70,-72,-71,15
-70,-70,-72,-71,-71,15
-70,-72,-71,-71,-71,15
-72,-71,-71,-71,-72,15
-71,-71,-71,-72,-71,15
-71,-71,-72,-71,-70,15
-71,-72,-71,-70,-72,15
-72,-71,-70,-72,-72,15
-71,-70,-72,-72,-71,15
-70,-72,-72,-71,-72,15
-72,-72,-71,-72,-72,15
-72,-71,-72,-72,-72,15
-71,-72,-72,-72,-72,15
-72,-72,-72,-72,-72,15
-72,-72,-72,-72,-71,15
-72,-72,-72,-71,-72,15
-72,-72,-71,-72,-73,15
-72,-71,-72,-73,-70,15
-71,-72,-73,-70,-71,15
-72,-73,-70,-71,-72,15
-73,-70,-71,-72,-72,15
-70,-71,-72,-72,-72,15
-71,-72,-72,-72,-72,15
-72,-72,-72,-72,-72,15
-72,-72,-72,-72,-72,15
-72,-72,-72,-72,-72,15
-72,-72,-72,-72,-72,15
-72,-72,-72,-72,-72,15
-72,-72,-72,-72,-72,15
-72,-72,-72,-72,-70,15
-72,-72,-72,-70,-69,15
-72,-72,-70,-69,-73,15
-72,-70,-69,-73,-72,15
-70,-69,-73,-72,-70,15
-69,-73,-72,-70,-72,15
-73,-72,-70,-72,-72,15
-72,-70,-72,-72,-72,15
-70,-72,-72,-72,-72,15
-72,-72,-72,-72,-70,15
-72,-72,-72,-70,-48,15
-72,-72,-70,-48,-72,15
-72,-70,-48,-72,-71,15
-70,-48,-72,-71,-71,15
-48,-72,-71,-71,-73,15
-72,-71,-71,-73,-72,15
-71,-71,-73,-72,-70,15
-71,-73,-72,-70,-70,15
-73,-72,-70,-70,-72,15
-72,-70,-70,-72,-73,15
-70,-70,-72,-73,-74,15
-70,-72,-73,-74,-70,15
-72,-73,-74,-70,-73,15
-73,-74,-70,-73,-72,15
-74,-70,-73,-72,-73,15
-70,-73,-72,-73,-72,15
-73,-72,-73,-72,-71,15
-72,-73,-72,-71,-73,15
-73,-72,-71,-73,-70,15
-72,-71,-73,-70,-70,15
-71,-73,-70,-70,-70,15
-73,-70,-70,-70,-70,15
-70,-70,-70,-70,-69,15
-70,-70,-70,-69,-72,15
-70,-70,-69,-72,-69,15
-70,-69,-72,-69,-69,15
-69,-72,-69,-69,-69,15
-72,-69,-69,-69,-71,15
-69,-69,-69,-71,-72,15
-69,-69,-71,-72,-72,15
-69,-71,-72,-72,-72,15
-71,-72,-72,-72,-70,15
-72,-72,-72,-70,-72,15
-72,-72,-70,-72,-70,15
-72,-70,-72,-70,-71,15
-70,-72,-70,-71,-70,15
-72,-70,-71,-70,-68,15
-70,-71,-70,-68,-72,15
-71,-70,-68,-72,-72,15
-70,-68,-72,-72,-70,15
-68,-72,-72,-70,-70,15
-72,-72,-70,-70,-72,15
-72,-70,-70,-72,-72,15
-70,-70,-72,-72,-70,15
-70,-72,-72,-70,-70,15
-72,-72,-70,-70,-72,15
-72,-70,-70,-72,-72,15
-70,-70,-72,-72,-72,15
-70,-72,-72,-72,-72,15
-72,-72,-72,-72,-71,15
-72,-72,-72,-71,-72,15
-72,-72,-71,-72,-48,15
-72,-71,-72,-48,-73,15
