x1,x2,x3,x4,x5,distance
-57,-58,-60,-55,-61,3
-58,-60,-55,-61,-61,3
-60,-55,-61,-61,-57,3
-55,-61,-61,-57,-58,3
-61,-61,-57,-58,-58,3
-61,-57,-58,-58,-58,3
-57,-58,-58,-58,-61,3
-58,-58,-58,-61,-54,3
-58,-58,-61,-54,-61,3
-58,-61,-54,-61,-56,3
-61,-54,-61,-56,-58,3
-54,-61,-56,-58,-61,3
-61,-56,-58,-61,-61,3
-56,-58,-61,-61,-61,3
-58,-61,-61,-61,-61,3
-61,-61,-61,-61,-60,3
-61,-61,-61,-60,-60,3
-61,-61,-60,-60,-61,3
-61,-60,-60,-61,-58,3
-60,-60,-61,-58,-57,3
-60,-61,-58,-57,-61,3
-61,-58,-57,-61,-56,3
-58,-57,-61,-56,-62,3
-57,-61,-56,-62,-55,3
-61,-56,-62,-55,-61,3
-56,-62,-55,-61,-60,3
-62,-55,-61,-60,-58,3
-55,-61,-60,-58,-58,3
-61,-60,-58,-58,-58,3
-60,-58,-58,-58,-55,3
-58,-58,-58,-55,-58,3
-58,-58,-55,-58,-61,3
-58,-55,-58,-61,-58,3
-55,-58,-61,-58,-57,3
-58,-61,-58,-57,-66,3
-61,-58,-57,-66,-58,3
-58,-57,-66,-58,-55,3
-57,-66,-58,-55,-60,3
-66,-58,-55,-60,-58,3
-58,-55,-60,-58,-62,3
-55,-60,-58,-62,-56,3
-60,-58,-62,-56,-58,3
-58,-62,-56,-58,-57,3
-62,-56,-58,-57,-56,3
-56,-58,-57,-56,-61,3
-58,-57,-56,-61,-60,3
-57,-56,-61,-60,-61,3
-56,-61,-60,-61,-62,3
-61,-60,-61,-62,-61,3
-60,-61,-62,-61,-58,3
-61,-62,-61,-58,-60,3
-62,-61,-58,-60,-58,3
-61,-58,-60,-58,-59,3
-58,-60,-58,-59,-63,3
-60,-58,-59,-63,-56,3
-58,-59,-63,-56,-61,3
-59,-63,-56,-61,-59,3
-63,-56,-61,-59,-61,3
-56,-61,-59,-61,-58,3
-61,-59,-61,-58,-59,3
-59,-61,-58,-59,-60,3
-61,-58,-59,-60,-61,3
-58,-59,-60,-61,-67,3
-59,-60,-61,-67,-63,3
-60,-61,-67,-63,-59,3
-61,-67,-63,-59,-61,3
-67,-63,-59,-61,-57,3
-63,-59,-61,-57,-57,3
-59,-61,-57,-57,-63,3
-61,-57,-57,-63,-60,3
-57,-57,-63,-60,-62,3
-57,-63,-60,-62,-58,3
-63,-60,-62,-58,-56,3
-60,-62,-58,-56,-57,3
-62,-58,-56,-57,-58,3
-58,-56,-57,-58,-60,3
-56,-57,-58,-60,-58,3
-57,-58,-60,-58,-58,3
-58,-60,-58,-58,-57,3
-60,-58,-58,-57,-57,3
-58,-58,-57,-57,-63,3
-58,-57,-57,-63,-63,3
-57,-57,-63,-63,-60,3
-57,-63,-63,-60,-58,3
-63,-63,-60,-58,-60,3
-63,-60,-58,-60,-60,3
-60,-58,-60,-60,-60,3
-58,-60,-60,-60,-58,3
-60,-60,-60,-58,-61,3
-60,-60,-58,-61,-57,3
-60,-58,-61,-57,-37,3
-58,-61,-57,-37,-58,3
-61,-57,-37,-58,-60,3
-57,-37,-58,-60,-58,3
-37,-58,-60,-58,-61,3
-58,-60,-58,-61,-61,3
-60,-58,-61,-61,-61,3
-58,-61,-61,-61,-57,3
-61,-61,-61,-57,-63,3
-61,-61,-57,-63,-61,3
-61,-57,-63,-61,-61,3
-57,-63,-61,-61,-57,3
-63,-61,-61,-57,-58,3
-61,-61,-57,-58,-59,3
-61,-57,-58,-59,-59,3
-57,-58,-59,-59,-61,3
-58,-59,-59,-61,-56,3
-59,-59,-61,-56,-55,3
-59,-61,-56,-55,-63,3
-61,-56,-55,-63,-61,3
-56,-55,-63,-61,-61,3
-55,-63,-61,-61,-58,3
-63,-61,-61,-58,-61,3
-61,-61,-58,-61,-58,3
-61,-58,-61,-58,-58,3
-58,-61,-58,-58,-61,3
-61,-58,-58,-61,-61,3
-58,-58,-61,-61,-61,3
-58,-61,-61,-61,-63,3
-61,-61,-61,-63,-57,3
-61,-61,-63,-57,-60,3
-61,-63,-57,-60,-58,3
-63,-57,-60,-58,-60,3
-57,-60,-58,-60,-61,3
-60,-58,-60,-61,-61,3
-58,-60,-61,-61,-58,3
-60,-61,-61,-58,-60,3
-61,-61,-58,-60,-58,3
-61,-58,-60,-58,-56,3
-58,-60,-58,-56,-61,3
-60,-58,-56,-61,-61,3
-58,-56,-61,-61,-56,3
-56,-61,-61,-56,-61,3
-61,-61,-56,-61,-60,3
-61,-56,-61,-60,-63,3
-56,-61,-60,-63,-63,3
-61,-60,-63,-63,-58,3
-60,-63,-63,-58,-60,3
-63,-63,-58,-60,-60,3
-63,-58,-60,-60,-58,3
-58,-60,-60,-58,-60,3
-60,-60,-58,-60,-57,3
-60,-58,-60,-57,-60,3
-58,-60,-57,-60,-60,3
-60,-57,-60,-60,-63,3
-57,-60,-60,-63,-63,3
-60,-60,-63,-63,-59,3
-60,-63,-63,-59,-60,3
-63,-63,-59,-60,-57,3
-63,-59,-60,-57,-58,3
-59,-60,-57,-58,-58,3
-60,-57,-58,-58,-58,3
-57,-58,-58,-58,-60,3
-58,-58,-58,-60,-60,3
-58,-58,-60,-60,-60,3
-58,-60,-60,-60,-62,3
-60,-60,-60,-62,-63,3
-60,-60,-62,-63,-63,3
-60,-62,-63,-63,-60,3
-62,-63,-63,-60,-58,3
-63,-63,-60,-58,-61,3
-63,-60,-58,-61,-55,3
-60,-58,-61,-55,-60,3
-58,-61,-55,-60,-60,3
-61,-55,-60,-60,-58,3
-55,-60,-60,-58,-63,3
-60,-60,-58,-63,-60,3
-60,-58,-63,-60,-61,3
-58,-63,-60,-61,-63,3
-63,-60,-61,-63,-61,3
-60,-61,-63,-61,-63,3
-61,-63,-61,-63,-56,3
-63,-61,-63,-56,-58,3
-61,-63,-56,-58,-57,3
-63,-56,-58,-57,-60,3
-56,-58,-57,-60,-58,3
-58,-57,-60,-58,-58,3
-57,-60,-58,-58,-58,3
-60,-58,-58,-58,-60,3
-58,-58,-58,-60,-57,3
-58,-58,-60,-57,-58,3
-58,-60,-57,-58,-61,3
-60,-57,-58,-61,-60,3
-57,-58,-61,-60,-60,3
-58,-61,-60,-60,-58,3
-61,-60,-60,-58,-58,3
-60,-60,-58,-58,-58,3
-60,-58,-58,-58,-63,3
-58,-58,-58,-63,-60,3
-58,-58,-63,-60,-60,3
-58,-63,-60,-60,-56,3
-63,-60,-60,-56,-61,3
-60,-60,-56,-61,-62,3
-60,-56,-61,-62,-63,3
-56,-61,-62,-63,-60,3
-61,-62,-63,-60,-59,3
-62,-63,-60,-59,-58,3
-63,-60,-59,-58,-60,3
-60,-59,-58,-60,-62,3
-59,-58,-60,-62,-58,3
-58,-60,-62,-58,-60,3
-60,-62,-58,-60,-58,3
-62,-58,-60,-58,-62,3
-58,-60,-58,-62,-59,3
-60,-58,-62,-59,-58,3
-58,-62,-59,-58,-57,3
-62,-59,-58,-57,-58,3
-59,-58,-57,-58,-56,3
-58,-57,-58,-56,-63,3
-57,-58,-56,-63,-58,3
-58,-56,-63,-58,-61,3
-56,-63,-58,-61,-57,3
-63,-58,-61,-57,-61,3
-58,-61,-57,-61,-58,3
-61,-57,-61,-58,-57,3
-57,-61,-58,-57,-60,3
-61,-58,-57,-60,-58,3
-58,-57,-60,-58,-55,3
-57,-60,-58,-55,-62,3
-60,-58,-55,-62,-60,3
-58,-55,-62,-60,-58,3
-55,-62,-60,-58,-60,3
-62,-60,-58,-60,-57,3
-60,-58,-60,-57,-61,3
-58,-60,-57,-61,-58,3
-60,-57,-61,-58,-57,3
-57,-61,-58,-57,-61,3
-61,-58,-57,-61,-58,3
-58,-57,-61,-58,-58,3
-57,-61,-58,-58,-58,3
-61,-58,-58,-58,-56,3
-58,-58,-58,-56,-63,3
-58,-58,-56,-63,-62,3
-58,-56,-63,-62,-60,3
-56,-63,-62,-60,-55,3
-63,-62,-60,-55,-58,3
-62,-60,-55,-58,-54,3
-60,-55,-58,-54,-57,3
-55,-58,-54,-57,-63,3
-58,-54,-57,-63,-60,3
-54,-57,-63,-60,-63,3
-57,-63,-60,-63,-63,3
-63,-60,-63,-63,-55,3
-60,-63,-63,-55,-61,3
-63,-63,-55,-61,-57,3
-63,-55,-61,-57,-63,3
-55,-61,-57,-63,-63,3
-61,-57,-63,-63,-57,3
-57,-63,-63,-57,-57,3
-63,-63,-57,-57,-58,3
-63,-57,-57,-58,-60,3
-57,-57,-58,-60,-56,3
-57,-58,-60,-56,-59,3
-58,-60,-56,-59,-60,3
