x1,x2,x3,x4,x5,distance
-64,-63,-71,-80,-78,23
-63,-71,-80,-78,-61,23
-71,-80,-78,-61,-82,23
-80,-78,-61,-82,-61,23
-78,-61,-82,-61,-61,23
-61,-82,-61,-61,-66,23
-82,-61,-61,-66,-63,23
-61,-61,-66,-63,-66,23
-61,-66,-63,-66,-61,23
-66,-63,-66,-61,-81,23
-63,-66,-61,-81,-82,23
-66,-61,-81,-82,-63,23
-61,-81,-82,-63,-80,23
-81,-82,-63,-80,-80,23
-82,-63,-80,-80,-66,23
-63,-80,-80,-66,-60,23
-80,-80,-66,-60,-79,23
-80,-66,-60,-79,-78,23
-66,-60,-79,-78,-73,23
-60,-79,-78,-73,-62,23
-79,-78,-73,-62,-66,23
-78,-73,-62,-66,-66,23
-73,-62,-66,-66,-66,23
-62,-66,-66,-66,-66,23
-66,-66,-66,-66,-66,23
-66,-66,-66,-66,-63,23
-66,-66,-66,-63,-80,23
-66,-66,-63,-80,-61,23
-66,-63,-80,-61,-78,23
-63,-80,-61,-78,-66,23
-80,-61,-78,-66,-73,23
-61,-78,-66,-73,-62,23
-78,-66,-73,-62,-80,23
-66,-73,-62,-80,-60,23
-73,-62,-80,-60,-66,23
-62,-80,-60,-66,-80,23
-80,-60,-66,-80,-66,23
-60,-66,-80,-66,-64,23
-66,-80,-66,-64,-66,23
-80,-66,-64,-66,-60,23
-66,-64,-66,-60,-63,23
-64,-66,-60,-63,-70,23
-66,-60,-63,-70,-64,23
-60,-63,-70,-64,-78,23
-63,-70,-64,-78,-80,23
-70,-64,-78,-80,-66,23
-64,-78,-80,-66,-74,23
-78,-80,-66,-74,-72,23
-80,-66,-74,-72,-61,23
-66,-74,-72,-61,-60,23
-74,-72,-61,-60,-80,23
-72,-61,-60,-80,-80,23
-61,-60,-80,-80,-66,23
-60,-80,-80,-66,-60,23
-80,-80,-66,-60,-64,23
-80,-66,-60,-64,-80,23
-66,-60,-64,-80,-78,23
-60,-64,-80,-78,-80,23
-64,-80,-78,-80,-66,23
-80,-78,-80,-66,-80,23
-78,-80,-66,-80,-60,23
-80,-66,-80,-60,-60,23
-66,-80,-60,-60,-61,23
-80,-60,-60,-61,-63,23
-60,-60,-61,-63,-80,23
-60,-61,-63,-80,-66,23
-61,-63,-80,-66,-80,23
-63,-80,-66,-80,-66,23
-80,-66,-80,-66,-63,23
-66,-80,-66,-63,-63,23
-80,-66,-63,-63,-66,23
-66,-63,-63,-66,-80,23
