x1,x2,x3,x4,x5,distance
-73,-64,-64,-68,-64,17
-64,-64,-68,-64,-64,17
-64,-68,-64,-64,-64,17
-68,-64,-64,-64,-72,17
-64,-64,-64,-72,-72,17
-64,-64,-72,-72,-68,17
-64,-72,-72,-68,-64,17
-72,-72,-68,-64,-64,17
-72,-68,-64,-64,-64,17
-68,-64,-64,-64,-64,17
-64,-64,-64,-64,-63,17
-64,-64,-64,-63,-65,17
-64,-64,-63,-65,-72,17
-64,-63,-65,-72,-64,17
-63,-65,-72,-64,-64,17
-65,-72,-64,-64,-64,17
-72,-64,-64,-64,-72,17
-64,-64,-64,-72,-72,17
-64,-64,-72,-72,-63,17
-64,-72,-72,-63,-64,17
-72,-72,-63,-64,-71,17
-72,-63,-64,-71,-81,17
-63,-64,-71,-81,-72,17
-64,-71,-81,-72,-64,17
-71,-81,-72,-64,-73,17
-81,-72,-64,-73,-64,17
-72,-64,-73,-64,-64,17
-64,-73,-64,-64,-72,17
-73,-64,-64,-72,-64,17
-64,-64,-72,-64,-81,17
-64,-72,-64,-81,-73,17
-72,-64,-81,-73,-64,17
-64,-81,-73,-64,-64,17
-81,-73,-64,-64,-81,17
-73,-64,-64,-81,-72,17
-64,-64,-81,-72,-72,17
-64,-81,-72,-72,-81,17
-81,-72,-72,-81,-64,17
-72,-72,-81,-64,-72,17
-72,-81,-64,-72,-81,17
-81,-64,-72,-81,-81,17
-64,-72,-81,-81,-81,17
-72,-81,-81,-81,-72,17
-81,-81,-81,-72,-64,17
-81,-81,-72,-64,-68,17
-81,-72,-64,-68,-81,17
-72,-64,-68,-81,-77,17
-64,-68,-81,-77,-64,17
-68,-81,-77,-64,-73,17
-81,-77,-64,-73,-63,17
-77,-64,-73,-63,-73,17
-64,-73,-63,-73,-72,17
-73,-63,-73,-72,-64,17
-63,-73,-72,-64,-64,17
-73,-72,-64,-64,-73,17
-72,-64,-64,-73,-81,17
-64,-64,-73,-81,-73,17
-64,-73,-81,-73,-64,17
-73,-81,-73,-64,-72,17
-81,-73,-64,-72,-82,17
-73,-64,-72,-82,-65,17
-64,-72,-82,-65,-82,17
-72,-82,-65,-82,-64,17
-82,-65,-82,-64,-68,17
-65,-82,-64,-68,-76,17
-82,-64,-68,-76,-64,17
-64,-68,-76,-64,-64,17
-68,-76,-64,-64,-82,17
-76,-64,-64,-82,-72,17
-64,-64,-82,-72,-64,17
-64,-82,-72,-64,-81,17
-82,-72,-64,-81,-82,17
-72,-64,-81,-82,-64,17
-64,-81,-82,-64,-73,17
-81,-82,-64,-73,-73,17
-82,-64,-73,-73,-73,17
-64,-73,-73,-73,-72,17
-73,-73,-73,-72,-64,17
-73,-73,-72,-64,-73,17
-73,-72,-64,-73,-72,17
-72,-64,-73,-72,-64,17
-64,-73,-72,-64,-72,17
-73,-72,-64,-72,-73,17
-72,-64,-72,-73,-30,17
